Term	Gene	Log2(FoldChange)	PValue	Compare_Sample_ID	Compare_Sample_Info	Factor	Condition	Tissue	Category,,,,,,,
GSE61408_4	AT1G59750	2.90084045119528	0.00040474878529936804	GSM1504056,GSM1504057 / GSM1504047,GSM1504048,GSM1504049	pSCR::GFP_sorted_cells_96hr_auxin_treatment / pSCR::GFP_sorted_cells_no_auxin_treatment	Auxin treatment	96h_auxin / no_treatment	2 days post germination; endodermis	Treatment,,,,
GSE61408_3	AT1G59750	2.3055762024749	0.00388819173977403	GSM1504054,GSM1504055 / GSM1504047,GSM1504048,GSM1504049	pSCR::GFP_sorted_cells_72hr_auxin_treatment / pSCR::GFP_sorted_cells_no_auxin_treatment	Auxin treatment	72h_auxin / no_treatment	2 days post germination; endodermis	Treatment,,,,
GSE61408_2	AT1G59750	2.2292606432996003	0.0024324325186427602	GSM1504052,GSM1504053 / GSM1504047,GSM1504048,GSM1504049	pSCR::GFP_sorted_cells_48hr_auxin_treatment / pSCR::GFP_sorted_cells_no_auxin_treatment	Auxin treatment	48h_auxin / no_treatment	2 days post germination; endodermis	Treatment,,,,
GSE17500_5	AT1G59750	1.54811895537754	0.00355799630834811	GSM436314,GSM436315,GSM436316 / GSM436317,GSM436318,GSM436319	Col_0h / Col_PSTDC3000_24h	PstDc3000 inoculation	PstDc3000_inoculated_for_24h / no_treatment	5 week-old leaves	Treatment,,,
GSE30095_2	AT1G59750	1.40119313836653	0.000941792747187374	GSM744744,GSM744745,GSM744746 / GSM744747,GSM744748,GSM744749	root_cells_endodermis_and_quiescent_center_pH_4.6 / root_cells_endodermis_and_quiescent_center_pH_5.7	pH treatment	pH_4.6 / pH_5.7	Cells from 6 day-old roots	Treatment,,,
GSE19520_9	AT1G59750	1.3754226129228402	0.00037940640485173703	GSM486916,GSM486917,GSM486918 / GSM486928,GSM486929,GSM486930	Col-0_-ABA_LF / Col-0_+ABA_LF	ABA treatment	EtOH_3h / 50uM_ABA_3h	Leaves of five week-old plants	Treatment,,,
GSE40574_1	AT1G59750	1.34352641752287	0.00139955213240311	GSM996959,GSM996960 / GSM996955,GSM996956	Cheng_576_7-days_light / Cheng_576_7-day_dark	Light treatment	light-grown / dark-grown	7 day-old seedlings	Treatment,,,,,
GSE17500_4	AT1G59750	1.27132948269425	0.00612832995883756	GSM436320,GSM436321,GSM436322 / GSM436323,GSM436324,GSM436325	AFB1_0h / AFB1_PSTDC3000_24h	PstDc3000 inoculation	PstDc3000_inoculated_for_24h / no_treatment	5 week-old leaves	Treatment,,,
GSE17500_6	AT1G59750	1.26645166131427	0.00194784001657335	GSM436326,GSM436328 / GSM436329,GSM436330,GSM436331	miR_0h / miR_PSTDC3000_24h	PstDc3000 inoculation	PstDc3000_inoculated_for_24h / no_treatment	5 week-old leaves	Treatment,,,,
GSE18978_6	AT1G59750	1.17898343601945	0.00298966313166135	GSM469760,GSM469761,GSM469762 / GSM469763,GSM469764,GSM469765	Mitra_2_Col0-mock-24hpi / Mitra_2_Col0-PsmES4326-24hpi	Pathogen response	Pseudomonas_syringae_ES4326_streated_for_24h / mock_for_24h	4 week-old leaves	Treatment,,,
GSE17464_2	AT1G59750	1.1719784764109298	0.00137811044519036	GSM435730,GSM435731,GSM435732 / GSM435709,GSM435710,GSM435711	gai_MeJA_1h / gai_Control	MeJA treatment	10uM_MeJA_1h / no_treatment	5 weeks old plants on short day 	Treatment,,,
GSE5751_1	AT1G59750	1.11157715862836	0.00095592589634184	GSM134314,GSM134315,GSM134316 / GSM134308,GSM134309,GSM134310	Penfield_1_embryo-PAC / Penfield_1_embryo-control	PAC treatment	PAC_teatment / no_treatment	Embryo	Treatment,,,
GSE8741_2	AT1G59750	1.10485351097107	0.00305610695696251	GSM216973,GSM216981 / GSM216966,GSM216969	Vector_shoots_4h_GA4+DEX / Vector_shoots_4h_GA4	DEX treatment	GA4+DEX_4h / GA4_4h	8 day-old shoots	Treatment,,,,,
GSE56922_1	AT1G59750	1.08624504914647	6.04678565991881e-07	GSM1371357,GSM1371358 / GSM1371355,GSM1371356	infected_NIK_10_days / mock_NIK_10_days	CaLCuV infection	infected_with_CaLCuV / no_treatmant	Leaves at the seven-leaf stage	Treatment,,,,,
GSE30223_5	AT1G59750	-1.10204169845969	0.00810940025523822	GSM748487,GSM748488,GSM748489 / GSM748469,GSM748470,GSM748471	seed_germinating_in_countinuous_light_12_h_SL / dry_seed_0_h	Light treatment	light_for_12h / no_treatment	Seeds	Treatment,,,
GSE9728_9	AT1G59750	-1.10845583754863	0.000712248085192981	GSM245916,GSM245917,GSM245918 / GSM88055,GSM88056,GSM88057	wild_type_dark / wild_type_light	Light treatment	dark_grown / light_grown	7 day old seedlings	Treatment,,,
GSE9719_9	AT1G59750	-1.11181934193189	0.00367121879071071	GSM245474,GSM245484,GSM245494 / GSM245473,GSM245483,GSM245493	9_hr_Hypoxia_Stress_IP_RNA / 9_hr_Non-Stress_IP_RNA	Hypoxia treatment	long_term_(9_h)_hypoxia / no_treatment	7 day-old seedlings	Treatment,,,
GSE5621_17	AT1G59750	-1.13259204866005	0.00880957293692591	GSM131279,GSM131280 / GSM131223,GSM131224	AtGen_6-1611_Cold(4C)-Shoots-24.0h_Rep1 / AtGen_6-0011_Control-Shoots-0h_Rep1	Cold stress	4C_for_24h / no_treatment	Shoots	Treatment,,,,,
GSE27508_1	AT1G59750	-1.1347455028141	0.000845312539075473	GSM679540,GSM679541,GSM679542 / GSM679537,GSM679538,GSM679539	7-day-old_hypocotyls_with_auxin_treatment_for_1_day / 7-day-old_hypocotyls_without_auxin_treatment	Auxin treatment	with_auxin_treatment_for_1_day / without_auxin_treatment	7 day-old hypocotyls	Treatment,,,
GSE28800_0	AT1G59750	-1.1651171121009498	0.0036480393434649397	GSM713252,GSM713253,GSM713254 / GSM713249,GSM713250,GSM713251	DFPM / control	DFPM treatment	DFPM_treatment / no_treatment	12 day-old seedlings	Treatment,,,
GSE17464_14	AT1G59750	-1.1762229427991102	0.006803244882312189	GSM435751,GSM435752,GSM435753 / GSM435739,GSM435740,GSM435741	Laer_pretreat_with_GA_Flg22_0h / Laer_pretreat_with_water_control	Flg22+GA treatment	GA_+100nM_Flg22_0h / water	5 weeks old leaf discs on short day	Treatment,,,
GSE21920_1	AT1G59750	-1.18415068696056	0.0028221957271908197	GSM545379,GSM545380,GSM545366 / GSM545376,GSM545377,GSM545378	colmock / col	MgCl treatment	MgCl_treatment_for_6h / no_treatment	Leaves	Treatment,,,
