Interactor	Evidence_description	PMID,,,
AT1G04250	yeast two-hybrid assay	25566309,28650476,,
AT1G15050	yeast two-hybrid assay	25566309,28650476,,
AT1G34310	PCA	22096563,,,
AT1G47220	affinity capture	20706207,,,
AT1G51950	yeast two-hybrid assay	25566309,,,
AT1G59750	Co-crystal Structure,PCA,Reconstituted Complex	22096563,24485461
AT2G01200	yeast two-hybrid assay	25566309,,,
AT2G24490	affinity capture	20706207,,,
AT3G15540	Affinity Capture-Western	22096563,,,
AT3G16500	yeast two-hybrid assay	28650476,,,
AT3G17600	yeast two-hybrid assay	21734647,,,
AT3G50060	Reconstituted Complex	17675404,,,
AT3G61570	Reconstituted Complex,in vitro reconstitution assay with recombinant protein	17307898,,
AT3G61830	PCA	22096563,,,
AT4G23980	PCA	22096563,,,
AT5G25890	PCA	22096563,,,
AT5G60450	PCA	22096563,,,
AT5G62000	yeast two-hybrid assay	9188533,,,
