Term	Gene	Log2(FoldChange)	PValue	Compare_Sample_ID	Compare_Sample_Info	Factor	Condition	Tissue	Category,,,,,,,,
GSE61408_3	AT2G30470	2.9033159249877	0.004953841576832529	GSM1504054,GSM1504055 / GSM1504047,GSM1504048,GSM1504049	pSCR::GFP_sorted_cells_72hr_auxin_treatment / pSCR::GFP_sorted_cells_no_auxin_treatment	Auxin treatment	72h_auxin / no_treatment	2 days post germination; endodermis	Treatment,,,,,
GSE9605_3	AT2G30470	2.8112778392771696	0.00017790511350662702	GSM242963,GSM242964 / GSM242955,GSM242956	Steroid_day_7_(day7D) / Steroid_day_1_(day1D)	Steroid treatment	steroid_treatment_for_7_days / steroid_treatment_for_1_day	Inflorescence tips	Treatment,,,,,,
GSE61408_2	AT2G30470	2.6682400225000698	0.00588734772259994	GSM1504052,GSM1504053 / GSM1504047,GSM1504048,GSM1504049	pSCR::GFP_sorted_cells_48hr_auxin_treatment / pSCR::GFP_sorted_cells_no_auxin_treatment	Auxin treatment	48h_auxin / no_treatment	2 days post germination; endodermis	Treatment,,,,,
GSE61408_4	AT2G30470	2.53834166333404	0.00708545357587607	GSM1504056,GSM1504057 / GSM1504047,GSM1504048,GSM1504049	pSCR::GFP_sorted_cells_96hr_auxin_treatment / pSCR::GFP_sorted_cells_no_auxin_treatment	Auxin treatment	96h_auxin / no_treatment	2 days post germination; endodermis	Treatment,,,,,
GSE61408_1	AT2G30470	2.43906881301292	0.008338014003304809	GSM1504050,GSM1504051 / GSM1504047,GSM1504048,GSM1504049	pSCR::GFP_sorted_cells_24hr_auxin_treatment / pSCR::GFP_sorted_cells_no_auxin_treatment	Auxin treatment	24h_auxin / no_treatment	2 days post germination; endodermis	Treatment,,,,,
GSE14502_2	AT2G30470	2.25596580664602	0.00438125186500792	GSM362195,GSM362196 / GSM362192,GSM362193,GSM362194	root_hypoxia_pGL2 / root_control_pGL2	Hypoxia stress	2h_hypoxia / no_treatment	7 day-old  seedling root tips	Treatment,,,,,
GSE40574_1	AT2G30470	2.09091678935384	0.000333386607464421	GSM996959,GSM996960 / GSM996955,GSM996956	Cheng_576_7-days_light / Cheng_576_7-day_dark	Light treatment	light-grown / dark-grown	7 day-old seedlings	Treatment,,,,,,
GSE31837_7	AT2G30470	2.00102970801851	0.00025870727604835296	GSM789671,GSM789678,GSM789685 / GSM789668,GSM789675,GSM789682	4C_3h / 22C_3h	Cold stress	4C_for_3h / 22C_for_3h	T87 cultured cells	Treatment,,,,
GSE21920_14	AT2G30470	1.86571114722515	0.00206337187967651	GSM545381,GSM545382,GSM545383 / GSM545365,GSM545370,GSM545371	ulppto / ulp	Pathogen response	bacteria_pto_expressing_hopz1a_treatment_for_6h / no_treatment	Leaves	Treatment,,,,
GSE19264_10	AT2G30470	1.81800683209977	0.0015087179724167699	GSM477936,GSM477945,GSM477954 / GSM477930,GSM477939,GSM477948	Truman_2_21h-hrpA / Truman_2_8h-hrpA	Pathogen response	hrpA_infected_for_21h / hrpA_infected_for_8h	4 week-old leaves	Treatment,,,,
GSE5621_18	AT2G30470	1.77871138869347	0.00626184949861911	GSM131261,GSM131262 / GSM131225,GSM131226	AtGen_6-1121_Cold(4C)-Roots-0.5h_Rep1 / AtGen_6-0021_Control-Roots-0h_Rep1	Cold stress	4C_for_0.5h / no_treatment	Roots	Treatment,,,,,,
GSE80462_0	AT2G30470	1.75816697826262	1.06902181609126e-05	GSM2127777,GSM2127778,GSM2127779 / GSM2127783,GSM2127784,GSM2127785	ColxMN47_Cold / ColxMN47_Standard	Cold stress	4_degree_for_1h / no_treatment	4 week-old rossete	Treatment,,,,
GSE5615_14	AT2G30470	1.7435647568947399	0.000316790594797513	GSM131125,GSM131139,GSM131111 / GSM131136,GSM131150,GSM131122	leaves_infiltrated_with_10_uM_HrpZ_harvested_4_hours_later / leaves_infiltrated_with_water_harvested_4_hours_later	HrpZ treatment	Infiltrated with water or 10 uM HrpZ for 4h	5 weeks-old leaves 	Treatment,,,,
GSE5621_19	AT2G30470	1.72955947778599	0.0013157313315835199	GSM131265,GSM131266 / GSM131225,GSM131226	AtGen_6-1221_Cold(4C)-Roots-1.0h_Rep1 / AtGen_6-0021_Control-Roots-0h_Rep1	Cold stress	4C_for_1h / no_treatment	Roots	Treatment,,,,,,
GSE29543_9	AT2G30470	1.7028486732086399	0.00128027523575561	GSM731298,GSM731301,GSM731302 / GSM731295,GSM731296,GSM731297	root_explants_incubated_on_callus_inducing_medium_12_h / root_explants_incubated_on_callus_inducing_medium_0_h	Callus induction	incubated_on_callus_inducing_medium,_12_h / incubated_on_callus_inducing_medium,_0_h	Root segments seperated from 10-day-old seedlings	Treatment,,
GSE80462_2	AT2G30470	1.66063880883114	0.00893708031247759	GSM2127786,GSM2127787,GSM2127788 / GSM2127792,GSM2127793,GSM2127794	Colxhalleri_Cold / Colxhalleri_Standard	Cold stress	4_degree_for_1h / no_treatment	4 week-old rossete	Treatment,,,,
GSE40061_3	AT2G30470	1.6255086345046699	2.2853200456573103e-05	GSM984527,GSM984528,GSM984529 / GSM984521,GSM984522,GSM984523	Col-0_root_drought / Col-0_root_water	Drought stress	drought_treatment / water_treatment	1 month-old roots	Treatment,,,,
GSE10502_5	AT2G30470	1.5815046949596399	0.00513131104752633	GSM265473,GSM265474 / GSM265461,GSM265462	whole_roots_-Fe_72_hour / whole_roots_standard_conditions	Fe deficiency 	Fe_deficiency / standard_media	Seedling roots, 5 days after germination	Treatment,,,,,
GSE5621_5	AT2G30470	1.52091846145444	0.00828944126665652	GSM131269,GSM131270 / GSM131241,GSM131242	AtGen_6-1321_Cold(4C)-Roots-3.0h_Rep1 / AtGen_6-0321_Control-Roots-3.0h_Rep1	Cold stress	4C_for_3h / no_treatment	Roots	Treatment,,,,,,
GSE5627_26	AT2G30470	1.47083669173881	0.0017682363333125601	GSM131433,GSM131434 / GSM131225,GSM131226	Woundingstress-Roots-12.0h / Control-Roots-0h	Wounding stress	wounding_stress_for_12h / no_treatment	Roots	Treatment,,,,,,
GSE40061_1	AT2G30470	1.45901534469675	0.00013924796004965602	GSM984539,GSM984540,GSM984541 / GSM984533,GSM984534,GSM984535	camta1_root_drought / camta1_root_water	Drought stress	drought_treatment / water_treatment	1 month-old roots	Treatment,,,,
