Term	Gene	Log2(FoldChange)	PValue	Compare_Sample_ID	Compare_Sample_Info	Factor	Condition	Tissue	Category,,,,,,,,,,
GSE12137_0	AT5G13790	4.39050867745525	0.0015147019635945698	GSM305282,GSM305284 / GSM305281,GSM305283	estradiol_induced / control	Estradiol Treatment	0.01mM_estradiol_for_4_days / 0.1%_DMSO_for_4_days	Whole seedlings taken 4 days after germination	Treatment,,,,,,,,
GSE29364_0	AT5G13790	3.95444170823607	3.40855184420672e-05	GSM725893,GSM725894,GSM725895 / GSM725902,GSM725903,GSM725904	Cycloheximide / Mock	Cyc treatment	10uM_Cyc_treated / mock_treated	28 day-old shoot apical meristem	Treatment,,,,,,
GSE57145_1	AT5G13790	3.91019971339231	1.1572194927041e-05	GSM1375954,GSM1375955,GSM1375956 / GSM1375951,GSM1375952,GSM1375953	8-DAC_Col-0 / Time-0_Col-0	Callus formation	leaf_explants_cultured_in_CIM_for_8_days / leaf_explants_cultured_in_CIM_for_0_day	Leaf explants	Treatment,,,,,,
GSE25067_2	AT5G13790	3.31475485290529	9.91974378441853e-06	GSM615829,GSM615830,GSM615831 / GSM615838,GSM615839,GSM615840	seedlings_+5AC / control_seedlings	5AC treatment	20mg/L_5-aza-2-deoxycytidine_treatment / no_treatment	10 day-old whole seedling	Treatment,,,,,,
GSE3350_0	AT5G13790	3.2859142780872297	0.0035744785287598296	GSM75509,GSM75513 / GSM75508,GSM75512	Col-0_2h_NAA / Col-0_0h_NAA	NAA treatment	3 days post germination on 10uM NPA medium, then treated by 10uM NAA for different time	root segments of 3 day old seedlings	Treatment,,,,,,,
GSE29543_12	AT5G13790	3.14123719978527	0.00164964975289252	GSM731309,GSM731310,GSM731451 / GSM731295,GSM731296,GSM731297	root_explants_incubated_on_callus_inducing_medium_96_h / root_explants_incubated_on_callus_inducing_medium_0_h	Callus induction	incubated_on_callus_inducing_medium,_96_h / incubated_on_callus_inducing_medium,_0_h	Root segments seperated from 10-day-old seedlings	Treatment,,,,
GSE29364_1	AT5G13790	3.0708769575537205	3.8799679994542706e-07	GSM725899,GSM725900,GSM725901 / GSM725902,GSM725903,GSM725904	Cycloheximide_Dexamethasone / Mock	Cyc+Dex treatment	10uM_Cyc_plus_10uM_Dex_treated / mock_treated	28 day-old shoot apical meristem	Treatment,,,,,,
GSE80188_2	AT5G13790	2.76501401181811	0.00135249788930988	GSM2114481 / GSM2114478	10uM_MeJA/50nM_CK_Roots / Control_Roots	MeJA treatment	10uM_MeJA / no_treatment	7 day-old roots	Treatment,,,,,,,,,,
GSE42896_0	AT5G13790	2.72840115328682	0.00147875451436778	GSM1053030,GSM1053031,GSM1053032 / GSM1053036,GSM1053037,GSM1053038	Roots_at_T1_NAA / Roots_at_T0_(NPA)	NAA treatment	from_NPA_to_NAA_for_2_h / NPA	The roots of 3 days after germination	Treatment,,,,,,
GSE38965_1	AT5G13790	2.65216271183386	2.1066017150542498e-06	GSM952985,GSM952986,GSM952987 / GSM952979,GSM952980,GSM952981	seedling_culture_at_4_h_oligo / seedling_culture_at_4_h_EtOH	Oligomycin treatment	oligomycin_treatment_for_4h / EtOH_treatment_for_4h	10 day-old seedlings	Treatment,,,,,,
