Interactor	Evidence_description	PMID,,
AT1G10210	Biochemical Activity	19095804,,
AT1G15750	yeast two-hybrid assay	22065421,,
AT1G18150	Biochemical Activity	19095804,,
AT1G24260	yeast two-hybrid assay	17999645,,
AT1G35490	yeast two-hybrid assay	28650476,,
AT1G48150	yeast two-hybrid assay	28650476,,
AT1G59580	Biochemical Activity	19095804,,
AT1G69120	yeast two-hybrid assay	15805477,,
AT1G71830	affinity capture	16473966,,
AT2G18170	Biochemical Activity	19095804,,
AT2G22540	Phenotypic Enhancement,yeast two-hybrid assay	15805477,24948837
AT2G36740	yeast two-hybrid assay	28650476,,
AT2G41090	Reconstituted Complex	17360592,,
AT2G42830	yeast two-hybrid assay	15805477,,
AT2G43790	Biochemical Activity	19095804,,
AT2G45640	yeast two-hybrid assay	17999645,,
AT2G45650	yeast two-hybrid assay	15805477,,
AT2G45660	yeast two-hybrid assay	15805477,,
AT2G45680	yeast two-hybrid assay	28650476,,
AT3G07220	yeast two-hybrid assay	28650476,,
AT3G07260	yeast two-hybrid assay	28650476,,
AT3G11100	yeast two-hybrid assay	28650476,,
AT3G16830	yeast two-hybrid assay	22065421,,
AT3G20810	yeast two-hybrid assay	28650476,,
AT3G24490	yeast two-hybrid assay	28650476,,
AT3G28730	yeast two-hybrid assay	28650476,,
AT3G43810	Reconstituted Complex	17360592,,
AT3G50650	yeast two-hybrid assay	28650476,,
AT3G51920	Reconstituted Complex	17360592,,
AT3G57230	yeast two-hybrid assay	15805477,,
AT3G57390	FRET,Reconstituted Complex,yeast two-hybrid assay	25666346
AT3G58780	yeast two-hybrid assay	15805477,,
AT3G59790	Biochemical Activity	19095804,,
AT4G01370	Biochemical Activity	19095804,,
AT4G03250	yeast two-hybrid assay	28650476,,
AT4G09960	yeast two-hybrid assay	15805477,,
AT4G18960	yeast two-hybrid assay	15805477,,
AT4G24540	yeast two-hybrid assay	15805477,,
AT4G37940	yeast two-hybrid assay	15805477,,
AT4G38130	yeast two-hybrid assay	17999645,,
AT5G12980	yeast two-hybrid assay	28650476,,
AT5G13790	yeast two-hybrid assay	15805477,17999645,
AT5G18450	yeast two-hybrid assay	28650476,,
AT5G37260	yeast two-hybrid assay	28650476,,
AT5G37780	Reconstituted Complex	17360592,,
