Term	Gene	Log2(FoldChange)	PValue	Compare_Sample_ID	Compare_Sample_Info	Factor	Condition	Tissue	Category,,,,,,,,
GSE12137_0	AT3G26790	4.85177029306246	0.00414621183093054	GSM305282,GSM305284 / GSM305281,GSM305283	estradiol_induced / control	Estradiol Treatment	0.01mM_estradiol_for_4_days / 0.1%_DMSO_for_4_days	Whole seedlings taken 4 days after germination	Treatment,,,,,,
GSE23301_0	AT3G26790	4.08792074000489	2.20141631760819e-06	GSM571892,GSM571894,GSM571896 / GSM571891,GSM571893,GSM571895	ABA / control	ABA treatment	ABA_treatment / no_treatment	5 day-old T87 suspension cells	Treatment,,,,
GSE80188_2	AT3G26790	3.8328900141647404	0.00825128488491445	GSM2114481 / GSM2114478	10uM_MeJA/50nM_CK_Roots / Control_Roots	MeJA treatment	10uM_MeJA / no_treatment	7 day-old roots	Treatment,,,,,,,,
GSE28600_5	AT3G26790	2.98491993360871	0.00247163591689548	GSM707775,GSM707776 / GSM707769,GSM707770,GSM707774	ABA_24h / EtOH_24h	ABA treatment	25uM_ABA_24h / EtOH_24h	T87 cultured cells	Treatment,,,,,
GSE25067_2	AT3G26790	2.88070634095853	0.00212602605494991	GSM615829,GSM615830,GSM615831 / GSM615838,GSM615839,GSM615840	seedlings_+5AC / control_seedlings	5AC treatment	20mg/L_5-aza-2-deoxycytidine_treatment / no_treatment	10 day-old whole seedling	Treatment,,,,
GSE80188_4	AT3G26790	2.37345839552744	0.0197194545048613	GSM2114481 / GSM2114480	10uM_MeJA/50nM_CK_Roots / 50nM_cytokinin_(BAP)_Roots	MeJA treatment	10uM_MeJA/50nM_CK / 50nM_CK	7 day-old roots	Treatment,,,,,,,,
GSE28600_20	AT3G26790	2.28181305313143	0.00529124764530167	GSM707783,GSM707784 / GSM707779,GSM707780	ABA_SA_24h / SA_24h	ABA treatment	25uM_ABA_+_300uM_SA_24h / 300uM_SA_24h	T87 cultured cells	Treatment,,,,,,
GSE28600_7	AT3G26790	2.2336484020357	0.00294395891034567	GSM707783,GSM707784 / GSM707769,GSM707770	ABA_SA_24h / EtOH_24h	ABA+SA treatment	25uM_ABA_+_300uM_SA_24h / EtOH_24h	T87 cultured cells	Treatment,,,,,,
GSE80188_0	AT3G26790	2.0	0.00521682387378146	GSM2114479 / GSM2114478	10uM_Methyl_jasmonate_(MeJA)_Roots / Control_Roots	MeJA treatment	10uM_MeJA / no_treatment	7 day-old roots	Treatment,,,,,,,,
GSE80565_11	AT3G26790	1.98907283069079	0.0120600415179932	GSM2130993,GSM2131007 / GSM2130983,GSM2130997	ABA_36h / ABA_01h	ABA treatment	ABA_for_36h / ABA_for_1h	3 day-old seedlings	Treatment,,,,,,
