	Name	AGI ID	TF/Histone	P-value	Corr. p-value	GSE	Genotype	Tissue	Growth cond.	IP	COEX	COEX (Tissue)	COEX (Abiotic)	COEX (Hormone)	COEX (Biotic)	COEX (Light)	Targets	PPI	INDEX
607	APRR5, PRR5	AT5G24470	Protein	1.37e-44	2.2413200000000002e-41	GSE36361	pPRR5::FLAG-PRR5-GFP prr5	whole plant	10 hours after light on	ChIP	0.5903389830508475	0.5462288135593221	1.446137288135593	0.9240305084745762	0.9489474576271187	1.179484745762712	AT1G01520, AT1G01580, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G24147, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64780, AT1G78570, AT1G80340, AT2G04790, AT2G17780, AT2G27402, AT2G27420, AT2G30100, AT2G37040, AT2G39730, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G03770, AT3G10185, AT3G10420, AT3G13510, AT3G19450, AT3G22840, AT3G24520, AT3G30460, AT3G47070, AT3G48420, AT3G50560, AT3G51750, AT3G53830, AT3G55330, AT4G00490, AT4G01080, AT4G12830, AT4G14540, AT4G14690, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G24660, AT5G38410, AT5G38430, AT5G40950, AT5G49330	AT5G58350, AT3G04910, AT2G46790, AT2G46790, AT5G02810, AT5G02810, AT5G61380, AT5G61380, AT5G02810, AT5G02810, AT1G01060, AT2G46830, AT5G02810, AT5G02810, AT1G01060, AT2G46830, AT5G57360, AT5G57360, AT5G57360, AT5G57360, AT5G02810, AT5G02810, AT2G46790, AT2G46790, AT5G57360, AT5G57360, AT5G57360, AT2G18915, AT1G68050, AT5G57360, AT2G18915, AT1G68050, AT1G68050, AT5G61380, AT5G61380, AT5G61380, AT2G37000, AT1G69690, AT4G18390, AT1G15750, AT1G15750, AT1G15750, AT1G69690, AT1G60250, AT4G04885, AT4G18390, AT2G34450, AT4G39070, AT2G21320, AT5G24520, AT2G46670, AT2G18090, AT5G20240, AT3G47620, AT3G15030, AT4G34680, AT1G44830, AT4G38960	AT5G24470.Protein.GSE36361_0.ChIP
1602	Pol2	Pol2	Protein	5.999999999999999e-36	9.815999999999998e-33	GSE61439	nrpd1 (Col)	immature inflorescence	-	ChIP	NA	NA	NA	NA	NA	NA	AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G12570, AT1G15980, AT1G19150, AT1G24147, AT1G30070, AT1G30530, AT1G32080, AT1G48100, AT1G49630, AT1G55910, AT1G56510, AT1G64780, AT1G65560, AT1G78570, AT2G04790, AT2G17695, AT2G17780, AT2G22420, AT2G27402, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT3G01440, AT3G01550, AT3G02830, AT3G03770, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G28270, AT3G30460, AT3G47070, AT3G48420, AT3G53830, AT3G55330, AT4G00490, AT4G01080, AT4G14540, AT4G14690, AT4G27940, AT4G28660, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G15920, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G24660, AT5G38410, AT5G38430, AT5G40950, AT5G49330	Not available	Pol2.Protein.GSE61439_1.ChIP
182	Pol2	Pol2	Protein	4.03e-34	6.59308e-31	GSE113078	Col-0	seedling (8DAG)	-	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G24147, AT1G30530, AT1G35560, AT1G48100, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G78570, AT2G04790, AT2G17695, AT2G17780, AT2G22420, AT2G26695, AT2G30100, AT2G37040, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01550, AT3G02380, AT3G02830, AT3G10420, AT3G12580, AT3G18750, AT3G19450, AT3G21250, AT3G24520, AT3G28270, AT3G47070, AT3G50560, AT3G55330, AT3G62040, AT4G14540, AT4G14690, AT4G15430, AT4G15630, AT4G27940, AT4G30610, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G15920, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G24660, AT5G38410, AT5G38430, AT5G40950	Not available	Pol2.Protein.GSE113078_10.ChIP
756	H2Aub	H2Aub	Histone	5.28e-32	8.638080000000001e-29	GSE122314	ein6-1/een-1 (Ler)	seedling	air	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G01580, AT1G06000, AT1G10370, AT1G10960, AT1G12570, AT1G15980, AT1G19150, AT1G19490, AT1G24147, AT1G30070, AT1G30530, AT1G35560, AT1G48100, AT1G49630, AT1G50520, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT1G80340, AT2G22420, AT2G26695, AT2G26850, AT2G27402, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02670, AT3G02830, AT3G03770, AT3G10420, AT3G12580, AT3G13510, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G30460, AT3G48420, AT3G51750, AT3G53830, AT4G14540, AT4G14690, AT4G15630, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G15948, AT5G17170, AT5G17870, AT5G24660, AT5G38410, AT5G40950, AT5G49330, AT5G58310	Not available	H2Aub.Histone.GSE122314_15.ChIP
709	H2Aub	H2Aub	Histone	2.4199999999999997e-31	3.9591199999999995e-28	GSE122314	Ler	seedling	air	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G01580, AT1G06000, AT1G10370, AT1G10960, AT1G12570, AT1G15980, AT1G19150, AT1G19490, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G50520, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT1G80340, AT2G17695, AT2G22420, AT2G26695, AT2G26850, AT2G27402, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01550, AT3G02380, AT3G02670, AT3G03770, AT3G12580, AT3G13510, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G30460, AT3G48420, AT3G51750, AT3G53830, AT4G00490, AT4G01080, AT4G14540, AT4G14690, AT4G15430, AT4G15630, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G15948, AT5G17170, AT5G17870, AT5G24660, AT5G38410, AT5G40950, AT5G49330, AT5G58310	Not available	H2Aub.Histone.GSE122314_12.ChIP
293	H2AZ	H2AZ	Histone	6.9599999999999995e-31	1.138656e-27	GSE115170	arp6-4 (35S::SUC2)	seedling	-	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G01580, AT1G06000, AT1G10370, AT1G10960, AT1G12570, AT1G15980, AT1G19150, AT1G19490, AT1G30070, AT1G30530, AT1G32080, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT1G80340, AT2G22420, AT2G26850, AT2G27402, AT2G27420, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G02670, AT3G02830, AT3G10185, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G21250, AT3G22840, AT3G30460, AT3G48420, AT3G50560, AT3G51750, AT3G53830, AT4G00490, AT4G01080, AT4G12830, AT4G14540, AT4G14690, AT4G28660, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G15920, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G20450, AT5G24660, AT5G38820, AT5G40950	Not available	H2AZ.Histone.GSE115170_9.ChIP
614	Pol2	Pol2	Protein	1.22e-30	1.99592e-27	GSE61439	dcl234 (Col)	immature inflorescence	-	ChIP	NA	NA	NA	NA	NA	NA	AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G12570, AT1G15980, AT1G19150, AT1G24147, AT1G30070, AT1G30530, AT1G32080, AT1G48100, AT1G49630, AT1G55910, AT1G56510, AT1G64590, AT1G65560, AT1G78570, AT2G04790, AT2G17695, AT2G17780, AT2G22420, AT2G26695, AT2G27402, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT3G01440, AT3G01550, AT3G02830, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G28270, AT3G30460, AT3G47070, AT3G48420, AT3G50560, AT3G53830, AT3G55330, AT4G00490, AT4G01080, AT4G14540, AT4G14690, AT4G15630, AT4G27940, AT4G28660, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G15920, AT5G15948, AT5G17170, AT5G17870, AT5G17890, AT5G24660, AT5G38410, AT5G38430, AT5G40950, AT5G49330	Not available	Pol2.Protein.GSE61439_2.ChIP
1514	H2AZ	H2AZ	Histone	3.35e-29	5.4806e-26	GSE122314	ino80-1 (Col-0)	seedling	air	ChIP	NA	NA	NA	NA	NA	NA	AT1G01580, AT1G06000, AT1G10370, AT1G10960, AT1G12570, AT1G15980, AT1G19150, AT1G19490, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT1G80340, AT2G17695, AT2G22420, AT2G26850, AT2G27402, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02670, AT3G02830, AT3G03770, AT3G10420, AT3G12580, AT3G13510, AT3G19450, AT3G21250, AT3G22840, AT3G28270, AT3G30460, AT3G48420, AT3G51750, AT3G53830, AT3G55330, AT4G00490, AT4G01080, AT4G12830, AT4G14540, AT4G14690, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G20450, AT5G24660, AT5G38820, AT5G40950, AT5G49330	Not available	H2AZ.Histone.GSE122314_40.ChIP
1102	H3K4me2	H3K4me2	Histone	5.04e-29	8.24544e-26	GSE49090	Col	leaf (21DAG)	-	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G06000, AT1G10370, AT1G10960, AT1G12570, AT1G15980, AT1G19150, AT1G19490, AT1G29720, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT1G80340, AT2G04790, AT2G22420, AT2G26850, AT2G27420, AT2G30100, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02670, AT3G03770, AT3G10185, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G28270, AT3G30460, AT3G50560, AT3G51750, AT3G53830, AT3G55330, AT4G00490, AT4G01080, AT4G12830, AT4G14690, AT4G15430, AT4G27940, AT4G30610, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G15948, AT5G17170, AT5G17300, AT5G17890, AT5G24660, AT5G38410, AT5G38430, AT5G38820	Not available	H3K4me2.Histone.GSE49090_0.ChIP
1496	H2AZ	H2AZ	Histone	7.75e-29	1.2679e-25	GSE122314	Col-0	seedling	ET (4hr)	ChIP	NA	NA	NA	NA	NA	NA	AT1G01580, AT1G06000, AT1G10370, AT1G10960, AT1G12570, AT1G19150, AT1G19490, AT1G30070, AT1G30530, AT1G35560, AT1G48100, AT1G49630, AT1G50520, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT1G80340, AT2G17695, AT2G22420, AT2G26850, AT2G27402, AT2G27420, AT2G30100, AT2G37040, AT2G39280, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02670, AT3G02830, AT3G03770, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G28270, AT3G30460, AT3G48420, AT3G51750, AT3G53830, AT3G55330, AT4G00490, AT4G01080, AT4G14540, AT4G14690, AT4G27940, AT4G28660, AT5G08640, AT5G10150, AT5G13930, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G24660, AT5G38820, AT5G49330	Not available	H2AZ.Histone.GSE122314_39.ChIP
