Term	Gene	Chr	Start	End	Factor	Desc	Title	Class
GSM2095560	AT3G24650	Chr3	8990333	8998097	FRG1	Wt with acclimatizing (ACC) heat stress	WT_ACC_R3	TF	ChIP-seq
GSM2095559	AT3G24650	Chr3	8990459	8998103	FRG1	Wt with acclimatizing (ACC) heat stress	WT_ACC_R2	TF	ChIP-seq
GSM2130949	AT3G24650	Chr3	8990538	8997628	HB6	10 uM abscisic acid for 4 hours	AT2G22430_HB6_ABA_ChIP_rep2	TF	ChIP-seq
GSM2130977	AT3G24650	Chr3	8990612	8997731	ABF3	10 uM abscisic acid for 4 hours	AT4G34000_ABF3_ABA_ChIP_rep2	TF	ChIP-seq
GSM2130927	AT3G24650	Chr3	8990623	8997797	RD26	10 uM abscisic acid for 4 hours	AT4G27410_RD26_ABA_ChIP_rep3	TF	ChIP-seq
GSM2130979	AT3G24650	Chr3	8990646	8997542	ABF3	10 uM abscisic acid for 4 hours	AT4G34000_ABF3_ABA_ChIP_rep3	TF	ChIP-seq
GSM2028109	AT3G24650	Chr3	8990658	9003121	H3K27me3	Wt seeds	H3K27me3 in WT; 1	EF	ChIP-seq
GSM2028111	AT3G24650	Chr3	8990671	9003032	H3K27me3	Wt seeds	H3K27me3 in WT; 2	EF	ChIP-seq
GSM2130867	AT3G24650	Chr3	8990677	8997377	ABF1	10 uM abscisic acid for 4 hours	AT1G49720_ABF1_ABA_ChIP_rep2	TF	ChIP-seq
GSM1625912	AT3G24650	Chr3	8990726	9002280	H3K27me3	F1-Leaf Columbia x Columbia	at-leaf-H3K27m3_1_replicate_1	EF	ChIP-seq
GSM1625915	AT3G24650	Chr3	8990755	9002542	H3K27me3	F1-Leaf Columbia x Columbia	at-endosperm-H3K27m3_1_replicate_2_leaf	EF	ChIP-seq
GSM2028108	AT3G24650	Chr3	8990755	9002689	LHP1	ProLHP1:LHP1:GFP	LHP1 ChIPseq	TF	ChIP-seq
GSM2028110	AT3G24650	Chr3	8990815	9002662	H3K27me3	lhp1 mutant seeds	H3K27me3 in LHP1	EF	ChIP-seq
GSM2130975	AT3G24650	Chr3	8990817	8997480	ABF3	10 uM abscisic acid for 4 hours	AT4G34000_ABF3_ABA_ChIP_rep1	TF	ChIP-seq
GSM1530042	AT3G24650	Chr3	8990831	9003082	H3K27me3	WT_Col	H3K27me3_ChIP-seq_WT_Col_Rep1	EF	ChIP-seq
GSM2079966	AT3G24650	Chr3	8990886	9002621	H3K27me3	Col-0 seeds	H3K27me3 in Col-0 IP Replicate2	EF	ChIP-seq
GSM2130925	AT3G24650	Chr3	8991129	8997993	RD26	10 uM abscisic acid for 4 hours	AT4G27410_RD26_ABA_ChIP_rep2	TF	ChIP-seq
GSM2130883	AT3G24650	Chr3	8991160	8997820	ANAC032	10 uM abscisic acid for 4 hours	AT1G77450_ANAC032_ABA_ChIP_rep2	TF	ChIP-seq
GSM2130947	AT3G24650	Chr3	8991184	8997889	HB6	10 uM abscisic acid for 4 hours	AT2G22430_HB6_ABA_ChIP_rep1	TF	ChIP-seq
GSM2130923	AT3G24650	Chr3	8991187	8998184	RD26	10 uM abscisic acid for 4 hours	AT4G27410_RD26_ABA_ChIP_rep1	TF	ChIP-seq
GSM2130939	AT3G24650	Chr3	8991239	8997751	MYB44	10 uM abscisic acid for 4 hours	AT5G67300_MYB44_ABA_ChIP_rep3	TF	ChIP-seq
GSM2130885	AT3G24650	Chr3	8991261	8997740	ANAC032	10 uM abscisic acid for 4 hours	AT1G77450_ANAC032_ABA_ChIP_rep3	TF	ChIP-seq
GSM2130859	AT3G24650	Chr3	8991264	8997394	NFYB2	10 uM abscisic acid for 4 hours	AT5G47640_NFYB2_ABA_ChIP_rep1	TF	ChIP-seq
GSM2130973	AT3G24650	Chr3	8991294	8997476	ABF4	10 uM abscisic acid for 4 hours	AT3G19290_ABF4_ABA_ChIP_rep3	TF	ChIP-seq
GSM2130969	AT3G24650	Chr3	8991303	8997414	ABF4	10 uM abscisic acid for 4 hours	AT3G19290_ABF4_ABA_ChIP_rep1	TF	ChIP-seq
GSM2130937	AT3G24650	Chr3	8991315	8997389	MYB44	10 uM abscisic acid for 4 hours	AT5G67300_MYB44_ABA_ChIP_rep2	TF	ChIP-seq
GSM2130971	AT3G24650	Chr3	8991344	8997385	ABF4	10 uM abscisic acid for 4 hours	AT3G19290_ABF4_ABA_ChIP_rep2	TF	ChIP-seq
GSM1264688	AT3G24650	Chr3	8991374	8998306	BBM	2;4-D induced somatic embryos; pBBM::NLS-GFP	35S::BBM-GFP	TF	ChIP-seq
GSM1530044	AT3G24650	Chr3	8991378	9002461	H3K27me3	WT_Col/C24	H3K27me3_ChIP-seq_WT_Col/C24_Rep1	EF	ChIP-seq
GSM1530043	AT3G24650	Chr3	8991648	9001292	H3K27me3	WT_C24	H3K27me3_ChIP-seq_WT_C24_Rep1	EF	ChIP-seq
GSM2287873	AT3G24650	Chr3	8993490	8996183	WRKY40	WRKY40-HA; 1 uM flg22 for 2 h	W40HA_2h_2 (ChIP-Seq)	TF	ChIP-seq
GSM2130922	AT3G24650	Chr3	8993896	8996054	DREB2A	EtOH mock treatment for 4 hours	AT5G05410_DREB2A_EtOH_ChIP_rep3	TF	ChIP-seq
GSM1260849	AT3G24650	Chr3	8994159	8995581	LHY	lhy-21; 2 week-old whole seedlings	lhy21_ChIPSeq	TF	ChIP-seq
GSM2287872	AT3G24650	Chr3	8994270	8996129	WRKY40	WRKY40-HA; 1 uM flg22 for 0 h	W40HA_0h_2 (ChIP-Seq)	TF	ChIP-seq
GSM2287868	AT3G24650	Chr3	8994373	8996759	WRKY33	WRKY33-HA; 1 uM flg22 for 0 h	W33HA_0h_2 (ChIP-Seq)	TF	ChIP-seq
GSM1146788	AT3G24650	Chr3	8994553	9002527	H3K27me3	brm; 14 day-old seedlings	H3K27me3_ChIPSeq in brm rep2	EF	ChIP-seq
GSM1296935	AT3G24650	Chr3	8994561	9002977	H3K27me3	14 day-old brm mutant seedlings	H3K27me3_ChIPSeq in brm_rep2	EF	ChIP-seq
GSM1644819	AT3G24650	Chr3	8994561	8995963	H3K27me3	atbmi1a;b; 2 week-old seedlings without root	atbmi1a;b_H3K27me3_ChIPseq	EF	ChIP-seq
GSM1592579	AT3G24650	Chr3	8994595	9002404	H3K27me3	Col; seedlings at 12 DAG	H3K27me3_Col	EF	ChIP-seq
GSM1146787	AT3G24650	Chr3	8994597	9002613	H3K27me3	brm; 14 day-old seedlings	H3K27me3_ChIPSeq in brm rep1	EF	ChIP-seq
GSM1225093	AT3G24650	Chr3	8994607	9002355	H3K27me3	Col-0; yong leaves	At_H3K27me3_rep2	EF	ChIP-seq
GSM2498437	AT3G24650	Chr3	8994608	9001755	H3AK27me3	WT	Col-0 H3K27me3 7DAG rep3	EF	ChIP-seq
GSM1146785	AT3G24650	Chr3	8994653	9001817	H3K27me3	WT; 14 day-old seedlings	H3K27me3_ChIPSeq in wt rep1	EF	ChIP-seq
GSM1618741	AT3G24650	Chr3	8994670	8996790	WRKY33	14 hour mock treated	WK33-HA mock 14h rep1	TF	ChIP-seq
GSM2498439	AT3G24650	Chr3	8994694	9001729	H3AK27me3	WT	Col-0 H3K27me3 7DAG rep4	EF	ChIP-seq
