Term	Gene	Log2(FoldChange)	PValue	Compare_Sample_ID	Compare_Sample_Info	Factor	Condition	Tissue	Category,,,,,,,,
GSE28431_3	AT1G02580	5.06686778612979	1.30602179883043e-06	GSM702591,GSM702592,GSM702593 / GSM702580,GSM702579,GSM702578	Skipsey_CMP_24hr / Skipsey_Acetone_24hr	CMP treatment	CMP_dissolved_in_acetone_treated / acetone_treated	Roots	Treatment,,,,
GSE17464_34	AT1G02580	4.4540808733552995	4.9912259573587e-08	GSM435754,GSM435755,GSM435756 / GSM435676,GSM435677,GSM435678	Laer_pretreat_with_GA_Flg22_1h / Laer_Flg22_1h	Flg22+GA treatment	GA_+_100nM_Flg22_1h / 100nM_Flg22_1h	5 weeks old leaf discs on short day	Treatment,,,,
GSE17464_40	AT1G02580	4.3694252669752505	6.01671784155105e-06	GSM435757,GSM435758,GSM435759 / GSM435679,GSM435680,GSM435681	Laer_pretreat_with_GA_Flg22_2h / Laer_Flg22_2h	GA treatment	GA_+100nM_Flg22_2h / 100nM_Flg22_2h	5 weeks old leaf discs on short day	Treatment,,,,
GSE17464_35	AT1G02580	3.92696854930594	2.61257676401896e-06	GSM435763,GSM435764,GSM435765 / GSM435676,GSM435677,GSM435678	Laer_pretreat_with_GA+JA_Flg22_1h / Laer_Flg22_1h	Flg22+GA+JA treatment	GA_+_100nM_Flg22_+_JA_1h_ / 100nM_Flg22_1h	5 weeks old leaf discs on short day	Treatment,,,,
GSE67956_13	AT1G02580	3.9160216073606495	2.15776706119139e-08	GSM1659631,GSM1659632 / GSM1659643,GSM1659644	D3_wt / L3_wt	Dark treatment	prolonged_darkness_for_72h / short_day_for_72h	5 week-old  rosette leaves 	Treatment,,,,,,
GSE28431_1	AT1G02580	3.78963236055471	0.00033049590337962	GSM702591,GSM702592,GSM702593 / GSM702588,GSM702589,GSM702590	Skipsey_CMP_24hr / Skipsey_CMP_4hr	CMP treatment	CMP_treated_for_24h / CMP_treated_for_4h	Roots	Treatment,,,,
GSE67956_3	AT1G02580	3.7111396067982994	4.10224072977718e-08	GSM1659627,GSM1659628 / GSM1659639,GSM1659640	D3_hml / L3_hml	Dark treatment	prolonged_darkness_for_72h / short_day_for_72h	5 week-old  rosette leaves 	Treatment,,,,,,
GSE17464_41	AT1G02580	3.69446181347281	6.02906402539349e-06	GSM435766,GSM435767,GSM435768 / GSM435679,GSM435680,GSM435681	Laer_pretreat_with_GA+JA_Flg22_2h / Laer_Flg22_2h	GA+JA treatment	GA_+100nM_Flg22_+_JA_2h / 100nM_Flg22_2h	5 weeks old leaf discs on short day	Treatment,,,,
GSE67956_2	AT1G02580	3.2405605440353704	0.00570169457041733	GSM1659621,GSM1659622 / GSM1659639,GSM1659640	D2_hml / L3_hml	Dark treatment	prolonged_darkness_for_48h / short_day_for_72h	5 week-old  rosette leaves 	Treatment,,,,,,
GSE25489_5	AT1G02580	2.83918673870292	0.00047257091046067404	GSM626538,GSM626539,GSM626540 / GSM626535,GSM626536,GSM626537	Col0_safener_treated / Col0_mock_treated	Safener treatment	safener_treatment / DMSO_treatment	4 week-old rosette leaves	Treatment,,,,
GSE25489_6	AT1G02580	2.4580395170797997	0.000113126168461881	GSM626550,GSM626551,GSM626552 / GSM626547,GSM626548,GSM626549	sid2-2_safener_treated / sid2-2_mock_treated	Safener treatment	safener_treatment / DMSO_treatment	4 week-old rosette leaves	Treatment,,,,
GSE57487_3	AT1G02580	2.4232114307245403	0.000627552752224455	GSM1383673 / GSM1383671	Root_arf_with_Al / Root_arf_without_Al	AlCl3 treatment	10_uM_AlCl3_treatment / no_treatment	6 day-old roots	Treatment,,,,,,,,
GSE41099_0	AT1G02580	2.3311592267578702	0.000807131100038992	GSM1008528,GSM1008529 / GSM1008526,GSM1008527	detached_inflorescences_at_T24 / detached_inflorescences_at_T0	Dark treatment	24h_dark / no_treatment	Detached immature inflorescences	Treatment,,,,,,
GSE67956_12	AT1G02580	2.26504295992333	0.0115934037621873	GSM1659625,GSM1659626 / GSM1659643,GSM1659644	D2_wt / L3_wt	Dark treatment	prolonged_darkness_for_48h / short_day_for_72h	5 week-old  rosette leaves 	Treatment,,,,,,
GSE25489_4	AT1G02580	1.97538703035117	0.00484712397781241	GSM626544,GSM626545,GSM626546 / GSM626541,GSM626542,GSM626543	4tga_safener_treated / 4tga_mock_treated	Safener treatment	safener_treatment / DMSO_treatment	4 week-old rosette leaves	Treatment,,,,
GSE57487_2	AT1G02580	1.9068905956085198	0.0149333561811294	GSM1383672 / GSM1383670	Root_col_with_Al / Root_col_without_Al	AlCl3 treatment	10_uM_AlCl3_treatment / no_treatment	6 day-old roots	Treatment,,,,,,,,
GSE79412_0	AT1G02580	1.80091762442646	0.0495252474297908	GSM2094913 / GSM2094912	AR_MFZ_treatment / AM_control	MFZ treatment	MFZ_treatment / no_treatment	8 day-old whole seedlings	Treatment,,,,,,,,
GSE72461_5	AT1G02580	1.5849625007211599	0.0159652143591709	GSM1862911 / GSM1862909	jaz5/10_8h / jaz5/10_non_induced	Pst DC3000 infection	Pst_DC3000_infection_for_8h / non_induced	4.5 weeks old leaves	Treatment,,,,,,,,
GSE45213_1	AT1G02580	1.5336187626665903	0.0035239730814949	GSM1099201 / GSM1099200	spl7_cu+ / spl7_MS	CuSO4 Treatment	MS_medium_with_5uM_CuSO4 / MS_medium	Whole seedlings of post germination day 7	Treatment,,,,,,,,
GSE77017_11	AT1G02580	1.4551946257508301	0.00374393842301741	GSM2042539,GSM2042540,GSM2042541 / GSM2042527,GSM2042528,GSM2042529	cat2_24h_photorespiratory_stress / cat2_0h_photorespiratory_stress	Photorespiratory stress	photorespiratory_stress / no_treatment	3 week-old seedlings	Treatment,,,,
GSE62256_4	AT1G02580	1.26458492018689	0.00360438167543986	GSM1524152,GSM1524153,GSM1524154 / GSM1524149,GSM1524150,GSM1524151	Arabidopsis_Sei-0_infiltrated_2day / Arabidopsis_Sei-0_infiltrated_1day	Pst DC3000 infiltration	Infiltrated with Pst DC3000	4 weeks old leaves	Treatment,,,,
GSE79885_2	AT1G02580	1.2203789120463602	0.0128544268594401	GSM2107322,GSM2107323,GSM2107324 / GSM2107319,GSM2107320,GSM2107321	wrky75_ozone / wrky75_ctrl	Ozone exposure	350_ppb_ozone_exposure_for_2h / no_treatment	3 week-old  whole rosette	Treatment,,,,
GSE72461_4	AT1G02580	1.1699250014423102	0.0237027159148687	GSM1862910 / GSM1862909	jaz5/10_6h / jaz5/10_non_induced	Pst DC3000 infection	Pst_DC3000_infection_for_6h / non_induced	4.5 weeks old leaves	Treatment,,,,,,,,
GSE45677_0	AT1G02580	1.1379870616456	0.000298314650519871	GSM1111758,GSM1111759 / GSM1111756,GSM1111757	Treated / control	GSH treatment	treated_with_GSH / no_treatment	15 day-old seedlings	Treatment,,,,,,
