Term	Gene	Chr	Start	End	Factor	Desc	Title	Class
GSM856054	AT2G30470	Chr2	12980366	12984528	HTR5	Col-0; 10 day-old seedlings	HTR5 Myc ChIP-seq	EF	ChIP-seq
GSM1348068	AT2G30470	Chr2	12980431	12984359	DEK3	AtDEK3 overexpressor (OE) plants	AtDEK3 OE3-1	TF	ChIP-seq
GSM1669417	AT2G30470	Chr2	12980464	12984609	H3K4me1	Double mutant at3g03940/at518190; 21 day-old rosette leaves in normal watered state	rosettes_dm_watered_H3K4me1_rep2	EF	ChIP-seq
GSM1669419	AT2G30470	Chr2	12980511	12984542	H3K4me1	Double mutant at3g03940/at518190; 21 day-old rosette leaves in drought stress state	rosettes_dm_peg_H3K4me1_rep2	EF	ChIP-seq
GSM1669402	AT2G30470	Chr2	12980519	12984342	H3K4me1	Col-0; 21 day-old rosette leaves in drought stress state	rosettes_wildtype_peg_H3K4me1_rep1	EF	ChIP-seq
GSM1669389	AT2G30470	Chr2	12980541	12984525	H3K4me1	Col-0; 21 day-old rosette leaves in normal watered state	rosettes_wildtype_watered_H3K4me1_rep2	EF	ChIP-seq
GSM1232779	AT2G30470	Chr2	12980559	12984798	H2A	Col-0; Leaves of 3 week-old plants	WT_H2A_ChIP	EF	ChIP-seq
GSM1193616	AT2G30470	Chr2	12980639	12985247	H3K4me2	WT	Col H3K4m2 ChIP (replicate 2)	EF	ChIP-seq
GSM1669388	AT2G30470	Chr2	12980650	12984413	H3K4me1	Col-0; 21 day-old rosette leaves in normal watered state	rosettes_wildtype_watered_H3K4me1_rep1	EF	ChIP-seq
GSM1669403	AT2G30470	Chr2	12980711	12984320	H3K4me1	Col-0; 21 day-old rosette leaves in drought stress state	rosettes_wildtype_peg_H3K4me1_rep2	EF	ChIP-seq
GSM2544797	AT2G30470	Chr2	12981115	12985436	H3K36me3	WT; 10 day-old seedlings	WT_H3K36me3_#1	EF	ChIP-seq
GSM2429862	AT2G30470	Chr2	12981631	12985437	H3K36me3	Col-0	Col-0-H3K36me3	EF	ChIP-seq
GSM1232781	AT2G30470	Chr2	12981700	12984349	H2AX	Col-0; Leaves of 3 week-old plants	WT_H2AX_ChIP	EF	ChIP-seq
GSM1936273	AT2G30470	Chr2	12981754	12985520	H3K36me3	WT; leaves	H3K36me3_ws_wt_Rep1	EF	ChIP-seq
GSM1936274	AT2G30470	Chr2	12981764	12985530	H3K36me3	WT; leaves	H3K36me3_ws_wt_Rep2	EF	ChIP-seq
GSM1193618	AT2G30470	Chr2	12981835	12985252	H3K4me2	drm2-2	drm2 H3K4m2 ChIP (replicate 2)	EF	ChIP-seq
GSM1193619	AT2G30470	Chr2	12981838	12985243	H3K4me2	nrpe1-11	nrpe1 H3K4m2 ChIP (replicate 2)	EF	ChIP-seq
GSM1936267	AT2G30470	Chr2	12981840	12985554	H3K36me3	gcn5; leaves 	H3K36me3_ws_gcn5_Rep1	EF	ChIP-seq
GSM1936268	AT2G30470	Chr2	12981884	12985465	H3K36me3	gcn5; leaves 	H3K36me3_ws_gcn5_Rep2	EF	ChIP-seq
GSM958796	AT2G30470	Chr2	12981928	12985294	NRPE1	Floral tissue of drd1-6 mutant (eco. Columbia) with NRPE1-FLAG transgene	NRPE1 ChIP drd1 mutant	EF	ChIP-seq
GSM2027817	AT2G30470	Chr2	12981935	12985409	H3K36me3	Col-0 leaves	A_thaliana_H3K36me3_chip	EF	ChIP-seq
GSM958797	AT2G30470	Chr2	12981991	12985365	NRPE1	Floral tissue of dms3-4 mutant (eco. Columbia) with NRPE1-FLAG transgene	NRPE1 ChIP dms3 mutant	EF	ChIP-seq
GSM1193620	AT2G30470	Chr2	12982016	12985239	H3K4me2	nrpd1-4	nrpd1 H3K4m2 ChIP (replicate 2)	EF	ChIP-seq
GSM856055	AT2G30470	Chr2	12982041	12984516	HTR13	Col-0; 10 day-old seedlings	HTR13 Myc ChIP-seq	EF	ChIP-seq
GSM2544796	AT2G30470	Chr2	12982042	12985498	H3K4me3	WT; 10 day-old seedlings	WT_H3K4me3_#2	EF	ChIP-seq
GSM1669416	AT2G30470	Chr2	12982048	12984443	H3K4me1	Double mutant at3g03940/at518190; 21 day-old rosette leaves in normal watered state	rosettes_dm_watered_H3K4me1_rep1	EF	ChIP-seq
GSM1906916	AT2G30470	Chr2	12982051	12984527	H3K4me2	WT; 4 week-old rosette leaves	H3K4me2_ChIP-Seq_WT	EF	ChIP-seq
GSM958798	AT2G30470	Chr2	12982060	12985434	NRPE1	Floral tissue of rdm1-1 mutant (eco. Columbia) with NRPE1-FLAG transgene	NRPE1 ChIP rdm1 mutant	EF	ChIP-seq
GSM1193617	AT2G30470	Chr2	12982122	12984598	H3K4me2	jmj14 ldl1 ldl2	jmj14 ldl1 ldl2 H3K4m2 ChIP (replicate 2)	EF	ChIP-seq
GSM1669390	AT2G30470	Chr2	12982135	12984417	H3K4me1	Col-0; 21 day-old rosette leaves in normal watered state	rosettes_wildtype_watered_H3K4me1_rep3	EF	ChIP-seq
GSM1669405	AT2G30470	Chr2	12982163	12984418	H3K4me1	Col-0; 21 day-old rosette leaves in drought stress state	rosettes_wildtype_peg_H3K4me1_rep4	EF	ChIP-seq
GSM1669418	AT2G30470	Chr2	12982173	12984366	H3K4me1	Double mutant at3g03940/at518190; 21 day-old rosette leaves in drought stress state	rosettes_dm_peg_H3K4me1_rep1	EF	ChIP-seq
GSM2544807	AT2G30470	Chr2	12982191	12985453	H3K36me3	H3.3 Knockdown; 10 day-old seedlings	H3.3KD_H3K36me3_#1	EF	ChIP-seq
GSM1463814	AT2G30470	Chr2	12982285	12985486	JACKDAW	JKD-YFP	At_JKD_YFP_2	TF	ChIP-seq
GSM2544808	AT2G30470	Chr2	12982367	12985458	H3K36me3	H3.3 Knockdown; 10 day-old seedlings	H3.3KD_H3K36me3_#2	EF	ChIP-seq
GSM2367150	AT2G30470	Chr2	12982411	12987144	H2AK121ub	WT	Col-0 H2AK121ub 7DAG rep5	EF	ChIP-seq
GSM2544806	AT2G30470	Chr2	12982429	12985520	H3K4me3	H3.3 Knockdown; 10 day-old seedlings	H33KD_H3K4me3_#2	EF	ChIP-seq
GSM2544798	AT2G30470	Chr2	12982481	12985489	H3K36me3	WT; 10 day-old seedlings	WT_H3K36me3_#2	EF	ChIP-seq
GSM2544804	AT2G30470	Chr2	12982522	12984160	H1	H3.3 Knockdown; 10 day-old seedlings	H3.3KD_H1_#2	EF	ChIP-seq
GSM2429861	AT2G30470	Chr2	12982546	12985475	H3K36me3	Homozygous sdg8 T-DNA insertion	sdg8-H3K36me3	EF	ChIP-seq
GSM2544805	AT2G30470	Chr2	12982578	12985518	H3K4me3	H3.3 Knockdown; 10 day-old seedlings	H3.3KD_H3K4me3_#1	EF	ChIP-seq
GSM2263692	AT2G30470	Chr2	12982580	12985271	H3K36me3	Col-0; SAM and early stages leaves; 25C treated	H3K36me3-ChIP 25C biological replicate D	EF	ChIP-seq
GSM2263690	AT2G30470	Chr2	12982684	12984495	H3K36me3	Col-0; SAM and early stages leaves; 25C treated	H3K36me3-ChIP 25C biological replicate B	EF	ChIP-seq
GSM1669404	AT2G30470	Chr2	12982773	12984362	H3K4me1	Col-0; 21 day-old rosette leaves in drought stress state	rosettes_wildtype_peg_H3K4me1_rep3	EF	ChIP-seq
GSM2263685	AT2G30470	Chr2	12982787	12985261	H3K36me3	Col-0; SAM and early stages leaves; 16C treated	H3K36me3-ChIP 16C biological replicate D	EF	ChIP-seq
GSM1906919	AT2G30470	Chr2	12982812	12984484	H3K4me2	atx; 4 week-old rosette leaves	H3K4me2_ChIP-Seq_atx	EF	ChIP-seq
GSM1669407	AT2G30470	Chr2	12982892	12985184	H3K4me3	Col-0; 21 day-old rosette leaves in drought stress state	rosettes_wildtype_peg_H3K4me3_rep2	EF	ChIP-seq
GSM1669406	AT2G30470	Chr2	12982903	12984273	H3K4me3	Col-0; 21 day-old rosette leaves in drought stress state	rosettes_wildtype_peg_H3K4me3_rep1	EF	ChIP-seq
GSM1669394	AT2G30470	Chr2	12982905	12984286	H3T3ph 	Col-0; 21 day-old rosette leaves in normal watered state	rosettes_wildtype_watered_H3T3ph_rep1	EF	ChIP-seq
GSM1669408	AT2G30470	Chr2	12982906	12985323	H3K4me3	Col-0; 21 day-old rosette leaves in drought stress state	rosettes_wildtype_peg_H3K4me3_rep3	EF	ChIP-seq
GSM1669395	AT2G30470	Chr2	12982935	12984257	H3T3ph 	Col-0; 21 day-old rosette leaves in normal watered state	rosettes_wildtype_watered_H3T3ph_rep2	EF	ChIP-seq
GSM2051301	AT2G30470	Chr2	12982970	12985584	H3K14ac	ein2-5; 3 day-old seedling after ethylene treatment	ein2_H3K14Ac_ethylene_ChIPseq_rep2	EF	ChIP-seq
GSM1669410	AT2G30470	Chr2	12982974	12984289	H3T3ph 	Col-0; 21 day-old rosette leaves in drought stress state	rosettes_wildtype_peg_H3T3ph_rep2	EF	ChIP-seq
GSM2051295	AT2G30470	Chr2	12982987	12985458	H3K14ac	ein2-5; 3 day-old seedling after air treatment	ein2_H3K14Ac_air_ChIPseq_rep1	EF	ChIP-seq
GSM1669392	AT2G30470	Chr2	12982996	12985301	H3K4me3	Col-0; 21 day-old rosette leaves in normal watered state	rosettes_wildtype_watered_H3K4me3_rep2	EF	ChIP-seq
GSM2051291	AT2G30470	Chr2	12982996	12985440	H3K14ac	Col-0; 3 day-old whole seedling after ethylene treatment	COL_H3K14Ac_ethylene_ChIPseq	EF	ChIP-seq
GSM1669409	AT2G30470	Chr2	12983007	12984267	H3T3ph 	Col-0; 21 day-old rosette leaves in drought stress state	rosettes_wildtype_peg_H3T3ph_rep1	EF	ChIP-seq
GSM1669421	AT2G30470	Chr2	12983020	12985487	H3K4me3	Double mutant at3g03940/at518190; 21 day-old rosette leaves in normal watered state	rosettes_dm_watered_H3K4me3_rep2	EF	ChIP-seq
GSM2051287	AT2G30470	Chr2	12983025	12985494	H3K23ac	Col-0;3 day-old whole seedling after air treatment	COL_H3K23Ac_air_ChIPseq_rep2	EF	ChIP-seq
GSM1669424	AT2G30470	Chr2	12983035	12984232	H3T3ph 	Double mutant at3g03940/at518190; 21 day-old rosette leaves in normal watered state	rosettes_dm_watered_H3T3ph_rep1	EF	ChIP-seq
GSM2263689	AT2G30470	Chr2	12983037	12984934	H3K36me3	Col-0; SAM and early stages leaves; 25C treated	H3K36me3-ChIP 25C biological replicate A	EF	ChIP-seq
GSM1669420	AT2G30470	Chr2	12983040	12985370	H3K4me3	Double mutant at3g03940/at518190; 21 day-old rosette leaves in normal watered state	rosettes_dm_watered_H3K4me3_rep1	EF	ChIP-seq
GSM1669393	AT2G30470	Chr2	12983052	12985340	H3K4me3	Col-0; 21 day-old rosette leaves in normal watered state	rosettes_wildtype_watered_H3K4me3_rep3	EF	ChIP-seq
GSM2367149	AT2G30470	Chr2	12983061	12987248	H2AK121ub	lhp1 mutants	lhp1 H2AK121ub 7DAG rep1	EF	ChIP-seq
GSM1326796	AT2G30470	Chr2	12983078	12984134	H3K27me1	Col-0 leaves	At_H3K27me1_rep2	EF	ChIP-seq
GSM1669391	AT2G30470	Chr2	12983078	12985301	H3K4me3	Col-0; 21 day-old rosette leaves in normal watered state	rosettes_wildtype_watered_H3K4me3_rep1	EF	ChIP-seq
GSM2544795	AT2G30470	Chr2	12983086	12985472	H3K4me3	WT; 10 day-old seedlings	WT_H3K4me3_#1	EF	ChIP-seq
GSM1669423	AT2G30470	Chr2	12983091	12985366	H3K4me3	Double mutant at3g03940/at518190; 21 day-old rosette leaves in drought stress state	rosettes_dm_peg_H3K4me3_rep2	EF	ChIP-seq
GSM2051285	AT2G30470	Chr2	12983123	12985460	H3K14ac	Col-0;3 day-old whole seedling after air treatment	COL_H3K14Ac_air_ChIPseq	EF	ChIP-seq
GSM2367152	AT2G30470	Chr2	12983127	12989071	H2AK121ub	WT	Col-0 H2AK121ub 7DAG rep6	EF	ChIP-seq
GSM1669422	AT2G30470	Chr2	12983135	12985409	H3K4me3	Double mutant at3g03940/at518190; 21 day-old rosette leaves in drought stress state	rosettes_dm_peg_H3K4me3_rep1	EF	ChIP-seq
GSM2366606	AT2G30470	Chr2	12983147	12985534	H3K9Ac	WT; 14 day-old seedlings	H3K9Ac in WT	EF	ChIP-seq
GSM2051296	AT2G30470	Chr2	12983186	12985435	H3K14ac	ein2-5; 3 day-old seedling after air treatment	ein2_H3K14Ac_air_ChIPseq_rep2	EF	ChIP-seq
GSM2051286	AT2G30470	Chr2	12983262	12985494	H3K23ac	Col-0;3 day-old whole seedling after air treatment	COL_H3K23Ac_air_ChIPseq_rep1	EF	ChIP-seq
GSM2051293	AT2G30470	Chr2	12983295	12985500	H3K23ac	Col-0; 3 day-old whole seedling after ethylene treatment	COL_H3K23Ac_ethylene_ChIPseq_rep2	EF	ChIP-seq
GSM2183126	AT2G30470	Chr2	12983320	12985365	H3K9/14ac	Water treated for 3h	ChIP_water_3h_rep2	EF	ChIP-seq
