Term	Gene	Chr	Start	End	Factor	Desc	Title	Class
GSM1232779	AT2G23380	Chr2	9948954	9954832	H2A	Col-0; Leaves of 3 week-old plants	WT_H2A_ChIP	EF	ChIP-seq
GSM1348068	AT2G23380	Chr2	9949102	9954677	DEK3	AtDEK3 overexpressor (OE) plants	AtDEK3 OE3-1	TF	ChIP-seq
GSM1669417	AT2G23380	Chr2	9949115	9954842	H3K4me1	Double mutant at3g03940/at518190; 21 day-old rosette leaves in normal watered state	rosettes_dm_watered_H3K4me1_rep2	EF	ChIP-seq
GSM856054	AT2G23380	Chr2	9949404	9955508	HTR5	Col-0; 10 day-old seedlings	HTR5 Myc ChIP-seq	EF	ChIP-seq
GSM1232781	AT2G23380	Chr2	9949437	9954685	H2AX	Col-0; Leaves of 3 week-old plants	WT_H2AX_ChIP	EF	ChIP-seq
GSM1669402	AT2G23380	Chr2	9949440	9954270	H3K4me1	Col-0; 21 day-old rosette leaves in drought stress state	rosettes_wildtype_peg_H3K4me1_rep1	EF	ChIP-seq
GSM2101798	AT2G23380	Chr2	9949912	9953835	H3K27me3	fen1; 10 day-old seedlings	fen1_H3K27me3	EF	ChIP-seq
GSM2101793	AT2G23380	Chr2	9949971	9954027	H3K27me3	C24; 10 day-old seedlings	TWT_H3K27me3	EF	ChIP-seq
GSM1142627	AT2G23380	Chr2	9950769	9953877	AP1	Inflorescences of 4 day-old pAP1::AP1-GR ap1 cal plants with anti-GR antibody	AP1 ChIP-seq 4d biological reps 1 and 2	TF	ChIP-seq
GSM2101800	AT2G23380	Chr2	9950860	9953642	H3K9me2	fen1; 10 day-old seedlings	fen1_H3K9me2	EF	ChIP-seq
GSM1464770	AT2G23380	Chr2	9951324	9954005	JMJ14	JMJ14-FYR-HA	ZC_6_140207	TF	ChIP-seq
GSM2028113	AT2G23380	Chr2	9951957	9953816	H3K27me3	WT seeds	RNAPol-II	EF	ChIP-seq
GSM958797	AT2G23380	Chr2	9952070	9955555	NRPE1	Floral tissue of dms3-4 mutant (eco. Columbia) with NRPE1-FLAG transgene	NRPE1 ChIP dms3 mutant	EF	ChIP-seq
GSM2544794	AT2G23380	Chr2	9952659	9954616	H1	WT; 10 day-old seedlings	WT_H1_#2	EF	ChIP-seq
GSM958798	AT2G23380	Chr2	9952825	9955752	NRPE1	Floral tissue of rdm1-1 mutant (eco. Columbia) with NRPE1-FLAG transgene	NRPE1 ChIP rdm1 mutant	EF	ChIP-seq
GSM1193618	AT2G23380	Chr2	9952892	9958816	H3K4me2	drm2-2	drm2 H3K4m2 ChIP (replicate 2)	EF	ChIP-seq
GSM1669388	AT2G23380	Chr2	9952903	9954374	H3K4me1	Col-0; 21 day-old rosette leaves in normal watered state	rosettes_wildtype_watered_H3K4me1_rep1	EF	ChIP-seq
GSM1669389	AT2G23380	Chr2	9952907	9954410	H3K4me1	Col-0; 21 day-old rosette leaves in normal watered state	rosettes_wildtype_watered_H3K4me1_rep2	EF	ChIP-seq
GSM1669403	AT2G23380	Chr2	9952913	9954306	H3K4me1	Col-0; 21 day-old rosette leaves in drought stress state	rosettes_wildtype_peg_H3K4me1_rep2	EF	ChIP-seq
GSM1669394	AT2G23380	Chr2	9952919	9953918	H3T3ph 	Col-0; 21 day-old rosette leaves in normal watered state	rosettes_wildtype_watered_H3T3ph_rep1	EF	ChIP-seq
