Term	Gene	Chr	Start	End	Factor	Desc	Title	Class
GSM1891774	AT3G26790	Chr3	9851091	9857887	H3K27me3	atbmi1a/b; 2 week-old seedlings without roots	atbmi1a;b_H3K27me3_ChIPseq_rep	EF	ChIP-seq
GSM1225093	AT3G26790	Chr3	9851156	9858512	H3K27me3	Col-0; yong leaves	At_H3K27me3_rep2	EF	ChIP-seq
GSM1644821	AT3G26790	Chr3	9851164	9858012	H3K27me3	atring1a;b; 2 week-old seedlings without root	atring1a;b_H3K27me3_ChIPseq	EF	ChIP-seq
GSM2028111	AT3G26790	Chr3	9851313	9858815	H3K27me3	Wt seeds	H3K27me3 in WT; 2	EF	ChIP-seq
GSM2028109	AT3G26790	Chr3	9851488	9858818	H3K27me3	Wt seeds	H3K27me3 in WT; 1	EF	ChIP-seq
GSM1048079	AT3G26790	Chr3	9851600	9858435	H3K27me3	H3K27me3 of 14 day-old seedlings	H3K27me3 ChIP-seq; seedling	EF	ChIP-seq
GSM2498437	AT3G26790	Chr3	9851849	9858635	H3AK27me3	WT	Col-0 H3K27me3 7DAG rep3	EF	ChIP-seq
GSM1530042	AT3G26790	Chr3	9851948	9858560	H3K27me3	WT_Col	H3K27me3_ChIP-seq_WT_Col_Rep1	EF	ChIP-seq
GSM1530044	AT3G26790	Chr3	9851969	9858667	H3K27me3	WT_Col/C24	H3K27me3_ChIP-seq_WT_Col/C24_Rep1	EF	ChIP-seq
GSM2028108	AT3G26790	Chr3	9851969	9858731	LHP1	ProLHP1:LHP1:GFP	LHP1 ChIPseq	TF	ChIP-seq
GSM1625915	AT3G26790	Chr3	9852130	9858954	H3K27me3	F1-Leaf Columbia x Columbia	at-endosperm-H3K27m3_1_replicate_2_leaf	EF	ChIP-seq
GSM2028110	AT3G26790	Chr3	9852224	9858649	H3K27me3	lhp1 mutant seeds	H3K27me3 in LHP1	EF	ChIP-seq
GSM1530043	AT3G26790	Chr3	9852267	9858732	H3K27me3	WT_C24	H3K27me3_ChIP-seq_WT_C24_Rep1	EF	ChIP-seq
GSM2079966	AT3G26790	Chr3	9852272	9858985	H3K27me3	Col-0 seeds	H3K27me3 in Col-0 IP Replicate2	EF	ChIP-seq
GSM2367142	AT3G26790	Chr3	9852470	9858590	H3K27me3	WT	Col-0 H3K27me3 7DAG rep1	EF	ChIP-seq
GSM1592579	AT3G26790	Chr3	9852599	9858549	H3K27me3	Col; seedlings at 12 DAG	H3K27me3_Col	EF	ChIP-seq
GSM2498439	AT3G26790	Chr3	9852603	9858620	H3AK27me3	WT	Col-0 H3K27me3 7DAG rep4	EF	ChIP-seq
GSM2366608	AT3G26790	Chr3	9852605	9858624	H3K27me3	WT; 14 day-old seedlings	H3K27me3 in WT	EF	ChIP-seq
GSM1146785	AT3G26790	Chr3	9852606	9858511	H3K27me3	WT; 14 day-old seedlings	H3K27me3_ChIPSeq in wt rep1	EF	ChIP-seq
GSM1296934	AT3G26790	Chr3	9852632	9858629	H3K27me3	14 day-old brm mutant seedlings	H3K27me3_ChIPSeq in brm_rep1	EF	ChIP-seq
GSM1592581	AT3G26790	Chr3	9852655	9858598	H3K27me3	REF6p::REF6-HA ref6-1; seedlings at 12 DAG	H3K27me3_REF6-HA	EF	ChIP-seq
GSM1955349	AT3G26790	Chr3	9852664	9858457	H3K27me3	2-week old wt seedlings without roots	Col_H3K27me3_ChIPseq_rep2	EF	ChIP-seq
GSM1296932	AT3G26790	Chr3	9852665	9858468	H3K27me3	14 day-old wt seedlings	H3K27me3_ChIPSeq in wt_rep1	EF	ChIP-seq
GSM1625912	AT3G26790	Chr3	9852666	9859102	H3K27me3	F1-Leaf Columbia x Columbia	at-leaf-H3K27m3_1_replicate_1	EF	ChIP-seq
GSM1592580	AT3G26790	Chr3	9852689	9858499	H3K27me3	ref6-1; seedlings at 12 DAG	H3K27me3_ref6	EF	ChIP-seq
GSM2028112	AT3G26790	Chr3	9852704	9858525	H3K27me3	clf mutant seeds	H3K27me3 in CLF	EF	ChIP-seq
GSM2367144	AT3G26790	Chr3	9852711	9858582	H3K27me3	WT	Col-0 H3K27me3 7DAG rep2	EF	ChIP-seq
GSM1146787	AT3G26790	Chr3	9852716	9858577	H3K27me3	brm; 14 day-old seedlings	H3K27me3_ChIPSeq in brm rep1	EF	ChIP-seq
GSM1146788	AT3G26790	Chr3	9852746	9858665	H3K27me3	brm; 14 day-old seedlings	H3K27me3_ChIPSeq in brm rep2	EF	ChIP-seq
GSM1296935	AT3G26790	Chr3	9852748	9858655	H3K27me3	14 day-old brm mutant seedlings	H3K27me3_ChIPSeq in brm_rep2	EF	ChIP-seq
GSM1146786	AT3G26790	Chr3	9852787	9858487	H3K27me3	WT; 14 day-old seedlings	H3K27me3_ChIPSeq in wt rep2	EF	ChIP-seq
GSM2079968	AT3G26790	Chr3	9852884	9858656	H3K27me3	lhp1 mutant seeds	H3K27me3 in lhp1 IP Replicate2	EF	ChIP-seq
GSM1955350	AT3G26790	Chr3	9852886	9858499	H3K27me3	2-week old atring1a/b seedlings without roots	atring1a;b_H3K27me3_ChIPseq_rep2	EF	ChIP-seq
GSM1644819	AT3G26790	Chr3	9852897	9858631	H3K27me3	atbmi1a;b; 2 week-old seedlings without root	atbmi1a;b_H3K27me3_ChIPseq	EF	ChIP-seq
GSM2027816	AT3G26790	Chr3	9852918	9858483	H3K27me3	Col-0 leaves	A_thaliana_H3K27me3_chip	EF	ChIP-seq
GSM1296939	AT3G26790	Chr3	9852925	9858227	H3K27me3	14 day-old brm/clf mutant seedlings	H3K27me3_ChIPSeq in brm clf_rep2	EF	ChIP-seq
GSM2079970	AT3G26790	Chr3	9852976	9858532	H3K27me3	clf mutant seeds	H3K27me3 in CLF IP Replicate2	EF	ChIP-seq
GSM1296937	AT3G26790	Chr3	9853207	9858297	H3K27me3	14 day-old clf mutant seedlings	H3K27me3_ChIPSeq in clf_rep2	EF	ChIP-seq
GSM2090072	AT3G26790	Chr3	9853226	9858324	H3K27me3	C24; 10 day-old seedlings	WT_H3K27me3	EF	ChIP-seq
GSM1530049	AT3G26790	Chr3	9853227	9858162	H3K27me3	clf_C24	H3K27me3_ChIP-seq_clf_C24	EF	ChIP-seq
GSM2090077	AT3G26790	Chr3	9853332	9858400	H3K27me3	pold2; 10 day-old seedlings	pold2_H3K27me3	EF	ChIP-seq
GSM1592582	AT3G26790	Chr3	9853353	9858498	H3K27me3	EF6p::REF6-ZnF-HA ref6-1; seedlings at 12 DAG	H3K27me3_REF6-ZnF-HA	EF	ChIP-seq
GSM1955351	AT3G26790	Chr3	9853369	9857723	H3K27me3	2-week old lhp1-6 seedlings without roots	lhp1_6_H3K27me3_ChIPseq	EF	ChIP-seq
GSM2101793	AT3G26790	Chr3	9853371	9857883	H3K27me3	C24; 10 day-old seedlings	TWT_H3K27me3	EF	ChIP-seq
GSM1296938	AT3G26790	Chr3	9853377	9858408	H3K27me3	14 day-old brm/clf mutant seedlings	H3K27me3_ChIPSeq in brm clf_rep1	EF	ChIP-seq
GSM1296933	AT3G26790	Chr3	9853384	9858684	H3K27me3	14 day-old wt seedlings	H3K27me3_ChIPSeq in wt_rep2	EF	ChIP-seq
GSM1644817	AT3G26790	Chr3	9853405	9856974	H3K27me3	tfl2_2; 2 week-old seedlings without root	tfl2_2_H3K27me3_ChIPseq	EF	ChIP-seq
GSM1296936	AT3G26790	Chr3	9853420	9858175	H3K27me3	14 day-old clf mutant seedlings	H3K27me3_ChIPSeq in clf_rep1	EF	ChIP-seq
GSM2101798	AT3G26790	Chr3	9853429	9857289	H3K27me3	fen1; 10 day-old seedlings	fen1_H3K27me3	EF	ChIP-seq
GSM1530048	AT3G26790	Chr3	9853433	9857912	H3K27me3	clf_Col	H3K27me3_ChIP-seq_clf_Col	EF	ChIP-seq
GSM1891775	AT3G26790	Chr3	9853438	9857586	H3K27me3	clf-29; 2 week-old seedlings without roots	clf-29_H3K27me3_ChIPseq_rep	EF	ChIP-seq
GSM1530050	AT3G26790	Chr3	9853448	9857824	H3K27me3	clf_Col/C24	H3K27me3_ChIP-seq_clf_Col/C24	EF	ChIP-seq
GSM624616	AT3G26790	Chr3	9853483	9857225	H3K27me3	Col whole seedling	Col_H3K27me3_ChIPseq	EF	ChIP-seq
GSM1225092	AT3G26790	Chr3	9853485	9858213	H3K27me3	Col-0; yong leaves	At_H3K27me3_rep1	EF	ChIP-seq
GSM1942121	AT3G26790	Chr3	9853494	9857525	H2A.Z	Col-0 leaves 	A_thaliana_H2A.Z_chip	EF	ChIP-seq
GSM1530047	AT3G26790	Chr3	9853496	9857804	H3K27me3	WT_Col/C24	H3K27me3_ChIP-seq_WT_Col/C24_Rep2	EF	ChIP-seq
GSM2544802	AT3G26790	Chr3	9853538	9856799	H2A.Z	H3.3 Knockdown; 10 day-old seedlings	H33KD_H2AZ_#2	EF	ChIP-seq
GSM2544791	AT3G26790	Chr3	9853541	9856892	H2A.Z	WT; 10 day-old seedlings	WT_H2A.Z_#1	EF	ChIP-seq
GSM2544792	AT3G26790	Chr3	9853553	9856815	H2A.Z	WT; 10 day-old seedlings	WT_H2AZ_#2	EF	ChIP-seq
GSM1530045	AT3G26790	Chr3	9853576	9857247	H3K27me3	WT_Col	H3K27me3_ChIP-seq_WT_Col_Rep2	EF	ChIP-seq
GSM1322881	AT3G26790	Chr3	9853616	9857209	H3K27me3	Arabidopsis lyrata accession MN47; yong leaves	Al_H3K27me3_rep1; Arabidopsis lyrata; ChIP-Seq	EF	ChIP-seq
GSM2544801	AT3G26790	Chr3	9853633	9856705	H2A.Z	H3.3 Knockdown; 10 day-old seedlings	H3.3KD_H2A.Z_#1	EF	ChIP-seq
GSM1322882	AT3G26790	Chr3	9853634	9857138	H3K27me3	Arabidopsis lyrata accession MN47; yong leaves	Al_H3K27me3_rep2; Arabidopsis lyrata; ChIP-Seq	EF	ChIP-seq
GSM1232782	AT3G26790	Chr3	9853676	9856996	H2AZ	Col-0; Leaves of 3 week-old plants	WT_H2AZ_ChIP	EF	ChIP-seq
GSM1644813	AT3G26790	Chr3	9853727	9858295	H3K27me3	Col; 2 week-old seedlings without roots	Col_H3K27me3_ChIPseq	EF	ChIP-seq
GSM2130925	AT3G26790	Chr3	9853730	9855171	RD26	10 uM abscisic acid for 4 hours	AT4G27410_RD26_ABA_ChIP_rep2	TF	ChIP-seq
GSM2130923	AT3G26790	Chr3	9853752	9855977	RD26	10 uM abscisic acid for 4 hours	AT4G27410_RD26_ABA_ChIP_rep1	TF	ChIP-seq
GSM1530046	AT3G26790	Chr3	9853835	9856784	H3K27me3	WT_C24	H3K27me3_ChIP-seq_WT_C24_Rep2	EF	ChIP-seq
GSM1464767	AT3G26790	Chr3	9853882	9854968	NAC052	NAC052-HA	ZC_3_131216	TF	ChIP-seq
GSM1644815	AT3G26790	Chr3	9853946	9857203	H3K27me3	clf_29; 2 week-old seedlings without root	clf_29_H3K27me3_ChIPseq	EF	ChIP-seq
GSM1625916	AT3G26790	Chr3	9853969	9856716	H3K27me3	F1-Endosperm Landsberg x Columbia	at-endosperm-H3K27m3_1_replicate_2_ler_x_col	EF	ChIP-seq
