Term	Gene	Chr	Start	End	Factor	Desc	Title	Class
GSM2366608	AT1G21970	Chr1	7722405	7734607	H3K27me3	WT; 14 day-old seedlings	H3K27me3 in WT	EF	ChIP-seq
GSM1592582	AT1G21970	Chr1	7722702	7732384	H3K27me3	EF6p::REF6-ZnF-HA ref6-1; seedlings at 12 DAG	H3K27me3_REF6-ZnF-HA	EF	ChIP-seq
GSM1592580	AT1G21970	Chr1	7722723	7734596	H3K27me3	ref6-1; seedlings at 12 DAG	H3K27me3_ref6	EF	ChIP-seq
GSM2028110	AT1G21970	Chr1	7722837	7734824	H3K27me3	lhp1 mutant seeds	H3K27me3 in LHP1	EF	ChIP-seq
GSM2028112	AT1G21970	Chr1	7722840	7734972	H3K27me3	clf mutant seeds	H3K27me3 in CLF	EF	ChIP-seq
GSM2028111	AT1G21970	Chr1	7722855	7734942	H3K27me3	Wt seeds	H3K27me3 in WT; 2	EF	ChIP-seq
GSM2028109	AT1G21970	Chr1	7722909	7734983	H3K27me3	Wt seeds	H3K27me3 in WT; 1	EF	ChIP-seq
GSM1530042	AT1G21970	Chr1	7722927	7734779	H3K27me3	WT_Col	H3K27me3_ChIP-seq_WT_Col_Rep1	EF	ChIP-seq
GSM1530044	AT1G21970	Chr1	7722937	7734853	H3K27me3	WT_Col/C24	H3K27me3_ChIP-seq_WT_Col/C24_Rep1	EF	ChIP-seq
GSM1048079	AT1G21970	Chr1	7722957	7730120	H3K27me3	H3K27me3 of 14 day-old seedlings	H3K27me3 ChIP-seq; seedling	EF	ChIP-seq
GSM1644821	AT1G21970	Chr1	7722963	7734447	H3K27me3	atring1a;b; 2 week-old seedlings without root	atring1a;b_H3K27me3_ChIPseq	EF	ChIP-seq
GSM2028108	AT1G21970	Chr1	7722973	7734837	LHP1	ProLHP1:LHP1:GFP	LHP1 ChIPseq	TF	ChIP-seq
GSM1625915	AT1G21970	Chr1	7722998	7734488	H3K27me3	F1-Leaf Columbia x Columbia	at-endosperm-H3K27m3_1_replicate_2_leaf	EF	ChIP-seq
GSM2498437	AT1G21970	Chr1	7723024	7734522	H3AK27me3	WT	Col-0 H3K27me3 7DAG rep3	EF	ChIP-seq
GSM2079966	AT1G21970	Chr1	7723072	7734637	H3K27me3	Col-0 seeds	H3K27me3 in Col-0 IP Replicate2	EF	ChIP-seq
GSM1942121	AT1G21970	Chr1	7725603	7729845	H2A.Z	Col-0 leaves 	A_thaliana_H2A.Z_chip	EF	ChIP-seq
