PF00001	CL0192	GPCR_A	7tm_1	7 transmembrane receptor (rhodopsin family)
PF00002	CL0192	GPCR_A	7tm_2	7 transmembrane receptor (Secretin family)
PF00003	CL0192	GPCR_A	7tm_3	7 transmembrane sweet-taste receptor of 3 GCPR
PF00004	CL0023	P-loop_NTPase	AAA	ATPase family associated with various cellular activities (AAA)
PF00005	CL0023	P-loop_NTPase	ABC_tran	ABC transporter
PF00006	CL0023	P-loop_NTPase	ATP-synt_ab	ATP synthase alpha/beta family, nucleotide-binding domain
PF00007	CL0079	Cystine-knot	Cys_knot	Cystine-knot domain
PF00008	CL0001	EGF	EGF	EGF-like domain
PF00009	CL0023	P-loop_NTPase	GTP_EFTU	Elongation factor Tu GTP binding domain
PF00010	NA	NA	HLH	Helix-loop-helix DNA-binding domain
PF00011	CL0190	HSP20	HSP20	Hsp20/alpha crystallin family
PF00012	CL0108	Actin_ATPase	HSP70	Hsp70 protein
PF00013	CL0007	KH	KH_1	KH domain
PF00014	NA	NA	Kunitz_BPTI	Kunitz/Bovine pancreatic trypsin inhibitor domain
PF00015	NA	NA	MCPsignal	Methyl-accepting chemotaxis protein (MCP) signalling domain
PF00016	NA	NA	RuBisCO_large	Ribulose bisphosphate carboxylase large chain, catalytic domain
PF00017	CL0541	SH2-like	SH2	SH2 domain
PF00018	CL0010	SH3	SH3_1	SH3 domain
PF00019	CL0079	Cystine-knot	TGF_beta	Transforming growth factor beta like domain
PF00020	CL0607	TNF_receptor	TNFR_c6	TNFR/NGFR cysteine-rich region
PF00021	CL0117	uPAR_Ly6_toxin	UPAR_LY6	u-PAR/Ly-6 domain
PF00022	CL0108	Actin_ATPase	Actin	Actin
PF00023	CL0465	Ank	Ank	Ankyrin repeat
PF00024	CL0168	PAN	PAN_1	PAN domain
PF00025	CL0023	P-loop_NTPase	Arf	ADP-ribosylation factor family
PF00026	CL0129	Peptidase_AA	Asp	Eukaryotic aspartyl protease
PF00027	CL0029	Cupin	cNMP_binding	Cyclic nucleotide-binding domain
PF00028	CL0159	E-set	Cadherin	Cadherin domain
PF00029	CL0375	Transporter	Connexin	Connexin
PF00030	CL0333	gCrystallin	Crystall	Beta/Gamma crystallin
PF00031	CL0121	Cystatin	Cystatin	Cystatin domain
PF00032	NA	NA	Cytochrom_B_C	Cytochrome b(C-terminal)/b6/petD
PF00033	CL0328	2heme_cytochrom	Cytochrome_B	Cytochrome b/b6/petB
PF00034	CL0318	Cytochrome-c	Cytochrom_C	Cytochrome c
PF00035	CL0196	DSRM	dsrm	Double-stranded RNA binding motif
PF00036	CL0220	EF_hand	EF-hand_1	EF hand
PF00037	CL0344	4Fe-4S	Fer4	4Fe-4S binding domain
PF00038	NA	NA	Filament	Intermediate filament protein
PF00039	CL0451	FnI-like	fn1	Fibronectin type I domain
PF00040	CL0602	Kringle	fn2	Fibronectin type II domain
PF00041	CL0159	E-set	fn3	Fibronectin type III domain
PF00042	CL0090	Globin	Globin	Globin
PF00043	CL0497	GST_C	GST_C	Glutathione S-transferase, C-terminal domain
PF00044	CL0063	NADP_Rossmann	Gp_dh_N	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
PF00045	NA	NA	Hemopexin	Hemopexin
PF00046	CL0123	HTH	Homeodomain	Homeodomain
PF00047	CL0011	Ig	ig	Immunoglobulin domain
