Term	Gene	Chr	Start	End	Factor	Desc	Title	Class
GSM958798	AT5G13790	Chr5	4437610	4451478	NRPE1	Floral tissue of rdm1-1 mutant (eco. Columbia) with NRPE1-FLAG transgene	NRPE1 ChIP rdm1 mutant	EF	ChIP-seq
GSM2544806	AT5G13790	Chr5	4444835	4451340	H3K4me3	H3.3 Knockdown; 10 day-old seedlings	H33KD_H3K4me3_#2	EF	ChIP-seq
GSM2544796	AT5G13790	Chr5	4444844	4451323	H3K4me3	WT; 10 day-old seedlings	WT_H3K4me3_#2	EF	ChIP-seq
GSM2544805	AT5G13790	Chr5	4444890	4451133	H3K4me3	H3.3 Knockdown; 10 day-old seedlings	H3.3KD_H3K4me3_#1	EF	ChIP-seq
GSM1193618	AT5G13790	Chr5	4445058	4451411	H3K4me2	drm2-2	drm2 H3K4m2 ChIP (replicate 2)	EF	ChIP-seq
GSM1193619	AT5G13790	Chr5	4445061	4451450	H3K4me2	nrpe1-11	nrpe1 H3K4m2 ChIP (replicate 2)	EF	ChIP-seq
GSM1193616	AT5G13790	Chr5	4445066	4451448	H3K4me2	WT	Col H3K4m2 ChIP (replicate 2)	EF	ChIP-seq
GSM1193620	AT5G13790	Chr5	4445083	4451466	H3K4me2	nrpd1-4	nrpd1 H3K4m2 ChIP (replicate 2)	EF	ChIP-seq
GSM1193617	AT5G13790	Chr5	4445088	4451454	H3K4me2	jmj14 ldl1 ldl2	jmj14 ldl1 ldl2 H3K4m2 ChIP (replicate 2)	EF	ChIP-seq
GSM1906916	AT5G13790	Chr5	4445116	4451265	H3K4me2	WT; 4 week-old rosette leaves	H3K4me2_ChIP-Seq_WT	EF	ChIP-seq
GSM2544795	AT5G13790	Chr5	4447490	4451227	H3K4me3	WT; 10 day-old seedlings	WT_H3K4me3_#1	EF	ChIP-seq
GSM2367151	AT5G13790	Chr5	4447581	4451613	H2AK121ub	lhp1 mutants	lhp1 H2AK121ub 7DAG rep2	EF	ChIP-seq
GSM2367149	AT5G13790	Chr5	4447678	4451632	H2AK121ub	lhp1 mutants	lhp1 H2AK121ub 7DAG rep1	EF	ChIP-seq
GSM2544801	AT5G13790	Chr5	4447718	4451419	H2A.Z	H3.3 Knockdown; 10 day-old seedlings	H3.3KD_H2A.Z_#1	EF	ChIP-seq
GSM2544802	AT5G13790	Chr5	4447722	4451421	H2A.Z	H3.3 Knockdown; 10 day-old seedlings	H33KD_H2AZ_#2	EF	ChIP-seq
GSM1193610	AT5G13790	Chr5	4447728	4451351	H3K4me2	ldl1 ldl2	ldl1 ldl2 H3K4m2 ChIP (replicate 1) A; B	EF	ChIP-seq
GSM2544792	AT5G13790	Chr5	4447742	4451417	H2A.Z	WT; 10 day-old seedlings	WT_H2AZ_#2	EF	ChIP-seq
GSM2544791	AT5G13790	Chr5	4447773	4451406	H2A.Z	WT; 10 day-old seedlings	WT_H2A.Z_#1	EF	ChIP-seq
GSM2367140	AT5G13790	Chr5	4447775	4451667	H2AK121ub	WT	Col-0 H2AK121ub 7DAG rep2	EF	ChIP-seq
GSM2367138	AT5G13790	Chr5	4447804	4451629	H2AK121ub	WT	Col-0 H2AK121ub 7DAG rep1	EF	ChIP-seq
GSM2367148	AT5G13790	Chr5	4447828	4451595	H2AK121ub	WT	Col-0 H2AK121ub 7DAG rep4	EF	ChIP-seq
GSM1942121	AT5G13790	Chr5	4447830	4451498	H2A.Z	Col-0 leaves 	A_thaliana_H2A.Z_chip	EF	ChIP-seq
GSM2367150	AT5G13790	Chr5	4447837	4451595	H2AK121ub	WT	Col-0 H2AK121ub 7DAG rep5	EF	ChIP-seq
GSM2367146	AT5G13790	Chr5	4447845	4451591	H2AK121ub	WT	Col-0 H2AK121ub 7DAG rep3	EF	ChIP-seq
GSM940585	AT5G13790	Chr5	4447894	4453470	PI	PI-GFP AP1-GR ap1 cal	PI-GFP (AP1-GR ap1 cal) ChIPseq	TF	ChIP-seq
GSM1232782	AT5G13790	Chr5	4447927	4451468	H2AZ	Col-0; Leaves of 3 week-old plants	WT_H2AZ_ChIP	EF	ChIP-seq
GSM1592582	AT5G13790	Chr5	4448440	4451657	H3K27me3	EF6p::REF6-ZnF-HA ref6-1; seedlings at 12 DAG	H3K27me3_REF6-ZnF-HA	EF	ChIP-seq
GSM1592580	AT5G13790	Chr5	4448466	4451615	H3K27me3	ref6-1; seedlings at 12 DAG	H3K27me3_ref6	EF	ChIP-seq
GSM1625915	AT5G13790	Chr5	4448552	4451543	H3K27me3	F1-Leaf Columbia x Columbia	at-endosperm-H3K27m3_1_replicate_2_leaf	EF	ChIP-seq
GSM2367152	AT5G13790	Chr5	4448557	4451583	H2AK121ub	WT	Col-0 H2AK121ub 7DAG rep6	EF	ChIP-seq
GSM1530043	AT5G13790	Chr5	4448563	4451886	H3K27me3	WT_C24	H3K27me3_ChIP-seq_WT_C24_Rep1	EF	ChIP-seq
GSM1530042	AT5G13790	Chr5	4448575	4451560	H3K27me3	WT_Col	H3K27me3_ChIP-seq_WT_Col_Rep1	EF	ChIP-seq
GSM2028112	AT5G13790	Chr5	4448578	4451679	H3K27me3	clf mutant seeds	H3K27me3 in CLF	EF	ChIP-seq
GSM2028109	AT5G13790	Chr5	4448581	4451612	H3K27me3	Wt seeds	H3K27me3 in WT; 1	EF	ChIP-seq
GSM2028111	AT5G13790	Chr5	4448584	4451610	H3K27me3	Wt seeds	H3K27me3 in WT; 2	EF	ChIP-seq
GSM1530044	AT5G13790	Chr5	4448590	4451905	H3K27me3	WT_Col/C24	H3K27me3_ChIP-seq_WT_Col/C24_Rep1	EF	ChIP-seq
GSM2028110	AT5G13790	Chr5	4448604	4451668	H3K27me3	lhp1 mutant seeds	H3K27me3 in LHP1	EF	ChIP-seq
GSM2090072	AT5G13790	Chr5	4448608	4451536	H3K27me3	C24; 10 day-old seedlings	WT_H3K27me3	EF	ChIP-seq
GSM1530049	AT5G13790	Chr5	4448609	4451638	H3K27me3	clf_C24	H3K27me3_ChIP-seq_clf_C24	EF	ChIP-seq
GSM1530050	AT5G13790	Chr5	4448640	4451600	H3K27me3	clf_Col/C24	H3K27me3_ChIP-seq_clf_Col/C24	EF	ChIP-seq
GSM1530048	AT5G13790	Chr5	4448643	4451517	H3K27me3	clf_Col	H3K27me3_ChIP-seq_clf_Col	EF	ChIP-seq
GSM1625912	AT5G13790	Chr5	4448656	4451454	H3K27me3	F1-Leaf Columbia x Columbia	at-leaf-H3K27m3_1_replicate_1	EF	ChIP-seq
GSM1225093	AT5G13790	Chr5	4448685	4451480	H3K27me3	Col-0; yong leaves	At_H3K27me3_rep2	EF	ChIP-seq
GSM1530047	AT5G13790	Chr5	4448699	4451264	H3K27me3	WT_Col/C24	H3K27me3_ChIP-seq_WT_Col/C24_Rep2	EF	ChIP-seq
GSM2101793	AT5G13790	Chr5	4448727	4451372	H3K27me3	C24; 10 day-old seedlings	TWT_H3K27me3	EF	ChIP-seq
GSM1592579	AT5G13790	Chr5	4448728	4451473	H3K27me3	Col; seedlings at 12 DAG	H3K27me3_Col	EF	ChIP-seq
GSM2090077	AT5G13790	Chr5	4448741	4451475	H3K27me3	pold2; 10 day-old seedlings	pold2_H3K27me3	EF	ChIP-seq
GSM1193611	AT5G13790	Chr5	4448750	4451187	H3K4me2	jmj14 ldl1 ldl2	jmj14 ldl1 ldl2 H3K4m2 ChIP (replicate 1) A; B	EF	ChIP-seq
GSM2498437	AT5G13790	Chr5	4448754	4451490	H3AK27me3	WT	Col-0 H3K27me3 7DAG rep3	EF	ChIP-seq
GSM624617	AT5G13790	Chr5	4448762	4451407	H3K27me3	ref6-2; whole seedling	ref6-1_H3K27me3_ChIPseq	EF	ChIP-seq
GSM1193609	AT5G13790	Chr5	4448763	4451266	H3K4me2	jmj14	jmj14 H3K4m2 ChIP (replicate 1) A; B	EF	ChIP-seq
GSM1225092	AT5G13790	Chr5	4448766	4451460	H3K27me3	Col-0; yong leaves	At_H3K27me3_rep1	EF	ChIP-seq
GSM1644821	AT5G13790	Chr5	4448778	4451406	H3K27me3	atring1a;b; 2 week-old seedlings without root	atring1a;b_H3K27me3_ChIPseq	EF	ChIP-seq
GSM1891775	AT5G13790	Chr5	4448780	4451430	H3K27me3	clf-29; 2 week-old seedlings without roots	clf-29_H3K27me3_ChIPseq_rep	EF	ChIP-seq
GSM2498439	AT5G13790	Chr5	4448781	4451509	H3AK27me3	WT	Col-0 H3K27me3 7DAG rep4	EF	ChIP-seq
GSM1592581	AT5G13790	Chr5	4448789	4451454	H3K27me3	REF6p::REF6-HA ref6-1; seedlings at 12 DAG	H3K27me3_REF6-HA	EF	ChIP-seq
GSM2027816	AT5G13790	Chr5	4448819	4451448	H3K27me3	Col-0 leaves	A_thaliana_H3K27me3_chip	EF	ChIP-seq
GSM1955349	AT5G13790	Chr5	4448828	4451494	H3K27me3	2-week old wt seedlings without roots	Col_H3K27me3_ChIPseq_rep2	EF	ChIP-seq
GSM2101798	AT5G13790	Chr5	4448831	4451326	H3K27me3	fen1; 10 day-old seedlings	fen1_H3K27me3	EF	ChIP-seq
GSM1625916	AT5G13790	Chr5	4448851	4451328	H3K27me3	F1-Endosperm Landsberg x Columbia	at-endosperm-H3K27m3_1_replicate_2_ler_x_col	EF	ChIP-seq
GSM1644817	AT5G13790	Chr5	4448858	4451329	H3K27me3	tfl2_2; 2 week-old seedlings without root	tfl2_2_H3K27me3_ChIPseq	EF	ChIP-seq
GSM1048079	AT5G13790	Chr5	4448863	4451431	H3K27me3	H3K27me3 of 14 day-old seedlings	H3K27me3 ChIP-seq; seedling	EF	ChIP-seq
GSM2367147	AT5G13790	Chr5	4448869	4451604	H2AK121ub	clf/swn mutants	clfswn H2AK121ub 7DAG rep2	EF	ChIP-seq
GSM2079966	AT5G13790	Chr5	4448878	4451432	H3K27me3	Col-0 seeds	H3K27me3 in Col-0 IP Replicate2	EF	ChIP-seq
GSM1146785	AT5G13790	Chr5	4448884	4451381	H3K27me3	WT; 14 day-old seedlings	H3K27me3_ChIPSeq in wt rep1	EF	ChIP-seq
GSM2079970	AT5G13790	Chr5	4448887	4451504	H3K27me3	clf mutant seeds	H3K27me3 in CLF IP Replicate2	EF	ChIP-seq
GSM2079968	AT5G13790	Chr5	4448909	4451511	H3K27me3	lhp1 mutant seeds	H3K27me3 in lhp1 IP Replicate2	EF	ChIP-seq
GSM1644813	AT5G13790	Chr5	4448923	4451385	H3K27me3	Col; 2 week-old seedlings without roots	Col_H3K27me3_ChIPseq	EF	ChIP-seq
GSM1955351	AT5G13790	Chr5	4448936	4451496	H3K27me3	2-week old lhp1-6 seedlings without roots	lhp1_6_H3K27me3_ChIPseq	EF	ChIP-seq
GSM2366608	AT5G13790	Chr5	4448973	4451420	H3K27me3	WT; 14 day-old seedlings	H3K27me3 in WT	EF	ChIP-seq
GSM2367145	AT5G13790	Chr5	4448978	4451554	H2AK121ub	clf/swn mutants	clfswn H2AK121ub 7DAG rep1	EF	ChIP-seq
GSM1322881	AT5G13790	Chr5	4448982	4451311	H3K27me3	Arabidopsis lyrata accession MN47; yong leaves	Al_H3K27me3_rep1; Arabidopsis lyrata; ChIP-Seq	EF	ChIP-seq
GSM1146786	AT5G13790	Chr5	4449033	4451412	H3K27me3	WT; 14 day-old seedlings	H3K27me3_ChIPSeq in wt rep2	EF	ChIP-seq
