Term	Gene	Chr	Start	End	Factor	Desc	Title	Class
GSM1592582	AT1G02580	Chr1	540838	552666	H3K27me3	EF6p::REF6-ZnF-HA ref6-1; seedlings at 12 DAG	H3K27me3_REF6-ZnF-HA	EF	ChIP-seq
GSM1592580	AT1G02580	Chr1	540859	552738	H3K27me3	ref6-1; seedlings at 12 DAG	H3K27me3_ref6	EF	ChIP-seq
GSM2367141	AT1G02580	Chr1	542665	550041	H3K27me3	atbmi1a/b/c mutants	atbmi1abc H3K27me3 7DAG rep1	EF	ChIP-seq
GSM2028111	AT1G02580	Chr1	542722	550255	H3K27me3	Wt seeds	H3K27me3 in WT; 2	EF	ChIP-seq
GSM2028110	AT1G02580	Chr1	542811	550025	H3K27me3	lhp1 mutant seeds	H3K27me3 in LHP1	EF	ChIP-seq
GSM2028109	AT1G02580	Chr1	542830	550188	H3K27me3	Wt seeds	H3K27me3 in WT; 1	EF	ChIP-seq
GSM2028108	AT1G02580	Chr1	542836	550034	LHP1	ProLHP1:LHP1:GFP	LHP1 ChIPseq	TF	ChIP-seq
GSM1530043	AT1G02580	Chr1	542838	552223	H3K27me3	WT_C24	H3K27me3_ChIP-seq_WT_C24_Rep1	EF	ChIP-seq
GSM1530044	AT1G02580	Chr1	542857	552169	H3K27me3	WT_Col/C24	H3K27me3_ChIP-seq_WT_Col/C24_Rep1	EF	ChIP-seq
GSM1530042	AT1G02580	Chr1	542886	552273	H3K27me3	WT_Col	H3K27me3_ChIP-seq_WT_Col_Rep1	EF	ChIP-seq
GSM2367143	AT1G02580	Chr1	542920	550079	H3K27me3	atbmi1a/b/c mutants	atbmi1abc H3K27me3 7DAG rep2	EF	ChIP-seq
GSM2130875	AT1G02580	Chr1	542952	545992	GBF3	10 uM abscisic acid for 4 hours	AT2G46270_GBF3_ABA_ChIP_rep3	TF	ChIP-seq
GSM2366608	AT1G02580	Chr1	542984	550250	H3K27me3	WT; 14 day-old seedlings	H3K27me3 in WT	EF	ChIP-seq
GSM1296934	AT1G02580	Chr1	543021	552068	H3K27me3	14 day-old brm mutant seedlings	H3K27me3_ChIPSeq in brm_rep1	EF	ChIP-seq
GSM1146788	AT1G02580	Chr1	543038	550190	H3K27me3	brm; 14 day-old seedlings	H3K27me3_ChIPSeq in brm rep2	EF	ChIP-seq
GSM2130873	AT1G02580	Chr1	543052	545979	GBF3	10 uM abscisic acid for 4 hours	AT2G46270_GBF3_ABA_ChIP_rep2	TF	ChIP-seq
GSM2130871	AT1G02580	Chr1	543064	545986	GBF3	10 uM abscisic acid for 4 hours	AT2G46270_GBF3_ABA_ChIP_rep1	TF	ChIP-seq
GSM1146787	AT1G02580	Chr1	543075	549820	H3K27me3	brm; 14 day-old seedlings	H3K27me3_ChIPSeq in brm rep1	EF	ChIP-seq
GSM2130874	AT1G02580	Chr1	543125	545999	GBF3	EtOH mock treatment for 4 hours	AT2G46270_GBF3_EtOH_ChIP_rep2	TF	ChIP-seq
GSM2130876	AT1G02580	Chr1	543234	546002	GBF3	EtOH mock treatment for 4 hours	AT2G46270_GBF3_EtOH_ChIP_rep3	TF	ChIP-seq
GSM2130872	AT1G02580	Chr1	543261	545998	GBF3	EtOH mock treatment for 4 hours	AT2G46270_GBF3_EtOH_ChIP_rep1	TF	ChIP-seq
GSM1296935	AT1G02580	Chr1	543297	551891	H3K27me3	14 day-old brm mutant seedlings	H3K27me3_ChIPSeq in brm_rep2	EF	ChIP-seq
GSM2130894	AT1G02580	Chr1	543540	545983	GBF2	EtOH mock treatment for 4 hours	AT4G01120_GBF2_EtOH_ChIP_rep1	TF	ChIP-seq
GSM2130950	AT1G02580	Chr1	543541	545986	HB6	EtOH mock treatment for 4 hours	AT2G22430_HB6_EtOH_ChIP_rep2	TF	ChIP-seq
GSM2130878	AT1G02580	Chr1	543565	545875	ANAC102	EtOH mock treatment for 4 hours	AT5G63790_ANAC102_EtOH_ChIP_rep1	TF	ChIP-seq
GSM2130980	AT1G02580	Chr1	543567	546039	ABF3	EtOH mock treatment for 4 hours	AT4G34000_ABF3_EtOH_ChIP_rep3	TF	ChIP-seq
GSM2130977	AT1G02580	Chr1	543576	546000	ABF3	10 uM abscisic acid for 4 hours	AT4G34000_ABF3_ABA_ChIP_rep2	TF	ChIP-seq
GSM2130942	AT1G02580	Chr1	543589	545933	HB5	EtOH mock treatment for 4 hours	AT5G65310_HB5_EtOH_ChIP_rep1	TF	ChIP-seq
GSM2130976	AT1G02580	Chr1	543598	546021	ABF3	EtOH mock treatment for 4 hours	AT4G34000_ABF3_EtOH_ChIP_rep1	TF	ChIP-seq
GSM2287870	AT1G02580	Chr1	543599	545918	WRKY18	WRKY18-HA; 1 uM flg22 for 0 h	W18HA_0h_2 (ChIP-Seq)	TF	ChIP-seq
GSM2130865	AT1G02580	Chr1	543600	545937	ABF1	10 uM abscisic acid for 4 hours	AT1G49720_ABF1_ABA_ChIP_rep1	TF	ChIP-seq
GSM2130973	AT1G02580	Chr1	543609	545965	ABF4	10 uM abscisic acid for 4 hours	AT3G19290_ABF4_ABA_ChIP_rep3	TF	ChIP-seq
GSM2130975	AT1G02580	Chr1	543610	546026	ABF3	10 uM abscisic acid for 4 hours	AT4G34000_ABF3_ABA_ChIP_rep1	TF	ChIP-seq
GSM2131013	AT1G02580	Chr1	543620	546025	DTAF2	10 uM dexamethasone; 6 hours	AT5G50360_DTAF2_Dex_6h_ChIP	TF	ChIP-seq
GSM2130971	AT1G02580	Chr1	543638	545967	ABF4	10 uM abscisic acid for 4 hours	AT3G19290_ABF4_ABA_ChIP_rep2	TF	ChIP-seq
GSM2130917	AT1G02580	Chr1	543656	545733	DREB2A	10 uM abscisic acid for 4 hours	AT5G05410_DREB2A_ABA_ChIP_rep1	TF	ChIP-seq
GSM2287871	AT1G02580	Chr1	543659	545289	WRKY18	WRKY18-HA; 1 uM flg22 for 2 h	W18HA_2h_2 (ChIP-Seq)	TF	ChIP-seq
GSM2130922	AT1G02580	Chr1	543690	545182	DREB2A	EtOH mock treatment for 4 hours	AT5G05410_DREB2A_EtOH_ChIP_rep3	TF	ChIP-seq
GSM2130897	AT1G02580	Chr1	543698	545988	GBF2	10 uM abscisic acid for 4 hours	AT4G01120_GBF2_ABA_ChIP_rep3	TF	ChIP-seq
GSM1618741	AT1G02580	Chr1	543699	545028	WRKY33	14 hour mock treated	WK33-HA mock 14h rep1	TF	ChIP-seq
GSM2130979	AT1G02580	Chr1	543708	546033	ABF3	10 uM abscisic acid for 4 hours	AT4G34000_ABF3_ABA_ChIP_rep3	TF	ChIP-seq
GSM2130895	AT1G02580	Chr1	543711	545978	GBF2	10 uM abscisic acid for 4 hours	AT4G01120_GBF2_ABA_ChIP_rep2	TF	ChIP-seq
GSM2130881	AT1G02580	Chr1	543712	545835	ANAC032	10 uM abscisic acid for 4 hours	AT1G77450_ANAC032_ABA_ChIP_rep1	TF	ChIP-seq
GSM2130970	AT1G02580	Chr1	543712	545905	ABF4	EtOH mock treatment for 4 hours	AT3G19290_ABF4_EtOH_ChIP_rep1	TF	ChIP-seq
GSM2130978	AT1G02580	Chr1	543720	545951	ABF3	EtOH mock treatment for 4 hours	AT4G34000_ABF3_EtOH_ChIP_rep2	TF	ChIP-seq
GSM2130923	AT1G02580	Chr1	543727	545964	RD26	10 uM abscisic acid for 4 hours	AT4G27410_RD26_ABA_ChIP_rep1	TF	ChIP-seq
GSM2130919	AT1G02580	Chr1	543735	545925	DREB2A	10 uM abscisic acid for 4 hours	AT5G05410_DREB2A_ABA_ChIP_rep2	TF	ChIP-seq
GSM2287861	AT1G02580	Chr1	543742	545163	WRKY33	WRKY33-HA; 1 uM flg22 for 2 h	W33HA_2h_1 (ChIP-Seq)	TF	ChIP-seq
GSM2130947	AT1G02580	Chr1	543747	546034	HB6	10 uM abscisic acid for 4 hours	AT2G22430_HB6_ABA_ChIP_rep1	TF	ChIP-seq
GSM2130896	AT1G02580	Chr1	543785	545988	GBF2	EtOH mock treatment for 4 hours	AT4G01120_GBF2_EtOH_ChIP_rep2	TF	ChIP-seq
GSM2130883	AT1G02580	Chr1	543786	545987	ANAC032	10 uM abscisic acid for 4 hours	AT1G77450_ANAC032_ABA_ChIP_rep2	TF	ChIP-seq
GSM1925686	AT1G02580	Chr1	543800	544001	WRKY15: WRKY family	protein:WRKY15; gene id:AT2G23320; protein family:WRKY; protein source:Arabidopsis thaliana; protein affinity tag:Halo; expression system:tnt; dna source:col; replicate:b; subset:motif	DAPSeq-WRKY_tnt-WRKY15_col_b	TF	DAP-seq
GSM1925683	AT1G02580	Chr1	543804	544005	WRKY14: WRKY family	protein:WRKY14; gene id:AT1G30650; protein family:WRKY; protein source:Arabidopsis thaliana; protein affinity tag:Halo; expression system:tnt; dna source:colamp; replicate:a; subset:motif	DAPSeq-WRKY_tnt-WRKY14_colamp_a	TF	DAP-seq
GSM1925685	AT1G02580	Chr1	543804	544005	WRKY15: WRKY family	protein:WRKY15; gene id:AT2G23320; protein family:WRKY; protein source:Arabidopsis thaliana; protein affinity tag:Halo; expression system:tnt; dna source:colamp; replicate:a; subset:motif	DAPSeq-WRKY_tnt-WRKY15_colamp_a	TF	DAP-seq
GSM1925701	AT1G02580	Chr1	543804	544005	WRKY27: WRKY family	protein:WRKY27; gene id:AT5G52830; protein family:WRKY; protein source:Arabidopsis thaliana; protein affinity tag:Halo; expression system:tnt; dna source:col; replicate:a; subset:motif	DAPSeq-WRKY_tnt-WRKY27_col_a	TF	DAP-seq
