Term	Gene	Chr	Start	End	Factor	Desc	Title	Class
GSM2388454	AT1G23490	Chr1	8332474	8338221	H3K9ac	had9 mutants	hdac_K9_rep2	EF	ChIP-seq
GSM2027818	AT1G23490	Chr1	8332582	8338479	H3K56ac	Col-0 leaves	A_thaliana_H3K56ac_chip	EF	ChIP-seq
GSM1193617	AT1G23490	Chr1	8333643	8336355	H3K4me2	jmj14 ldl1 ldl2	jmj14 ldl1 ldl2 H3K4m2 ChIP (replicate 2)	EF	ChIP-seq
GSM1322880	AT1G23490	Chr1	8333852	8335702	H3K4me3	Arabidopsis lyrata accession MN47; yong leaves	Al_H3K4me3_rep2; Arabidopsis lyrata; ChIP-Seq	EF	ChIP-seq
GSM1322884	AT1G23490	Chr1	8334131	8336057	H3K27me1	Arabidopsis lyrata accession MN47; yong leaves	Al_H3K27me1_rep2; Arabidopsis lyrata; ChIP-Seq	EF	ChIP-seq
GSM1322879	AT1G23490	Chr1	8334161	8335702	H3K4me3	Arabidopsis lyrata accession MN47; yong leaves	Al_H3K4me3_rep1; Arabidopsis lyrata; ChIP-Seq	EF	ChIP-seq
GSM856054	AT1G23490	Chr1	8334416	8336092	HTR5	Col-0; 10 day-old seedlings	HTR5 Myc ChIP-seq	EF	ChIP-seq
GSM2544792	AT1G23490	Chr1	8334429	8337167	H2A.Z	WT; 10 day-old seedlings	WT_H2AZ_#2	EF	ChIP-seq
GSM2544802	AT1G23490	Chr1	8334443	8337522	H2A.Z	H3.3 Knockdown; 10 day-old seedlings	H33KD_H2AZ_#2	EF	ChIP-seq
GSM1142627	AT1G23490	Chr1	8334475	8336067	AP1	Inflorescences of 4 day-old pAP1::AP1-GR ap1 cal plants with anti-GR antibody	AP1 ChIP-seq 4d biological reps 1 and 2	TF	ChIP-seq
GSM1942121	AT1G23490	Chr1	8334740	8336596	H2A.Z	Col-0 leaves 	A_thaliana_H2A.Z_chip	EF	ChIP-seq
GSM1925385	AT1G23490	Chr1	8334765	8334966	LBD18: LOBAS2 family	protein:LBD18; gene id:AT2G45420; protein family:LOBAS2; protein source:Arabidopsis thaliana; protein affinity tag:Halo; expression system:tnt; dna source:col; replicate:a; subset:motif	DAPSeq-LOBAS2_tnt-LBD18_col_a	TF	DAP-seq
